Interval=	0.01 s
ExcelDateTime=	4.4003254973916868e+004	6/21/2020 6:07:09.746418
TimeFormat=	StartOfBlock
DateFormat=
ChannelTitle=	Flow	Pressure	Volume	Breath Rate	Max Flow	Min Flow	Max Pressure	Min Pressure	Max Volume	Min Volume
Range=	20.000 L/s	5.000 mV	4.000 L	500.0000 BPM	100.0000 L/s	100.0000 L/s	100.0000 mmHg	100.0000 mmHg	100.0000 L	100.0000 L
UnitName=	*	mmHg	*	*	*	*	*	*	*	*
TopValue=	*	212.87	*	*	*	*	*	*	*	*
BottomValue=	*	-213.32	*	*	*	*	*	*	*	*
0.47	0.00250625	-0.007514615	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1606774	7.518751e-005	-0.000150375
0.48	0.00250625	-0.05412937	5.014038e-005	NaN	NaN	NaN	-0.0008553648	-0.1606774	7.518751e-005	-0.000150375
0.49	0	-0.06744787	5.014038e-005	NaN	NaN	NaN	-0.0008553648	-0.1606774	7.518751e-005	-0.000150375
0.5	-0.00250625	-0.1606774	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1606774	7.518751e-005	-0.000150375
0.51	0.00751875	0.01912239	7.522583e-005	NaN	NaN	NaN	0.005803886	-0.1628971	7.518751e-005	-0.0001837917
0.52	-0.00751875	-0.1473589	-3.051758e-008	NaN	NaN	NaN	0.01912239	-0.1673366	7.518751e-005	-0.000250625
0.53	-0.00250625	-0.1673366	-2.502441e-005	NaN	NaN	NaN	0.01912239	-0.1673366	7.518751e-005	-0.000250625
0.54	-0.0050125	-0.08076637	-7.519531e-005	NaN	NaN	NaN	0.01912239	-0.1673366	7.518751e-005	-0.000250625
0.55	0	-0.05412937	-3.051758e-008	NaN	NaN	NaN	0.01912239	-0.1673366	7.518751e-005	-0.000250625
0.56	-0.00250625	-0.05412937	-2.502441e-005	NaN	NaN	NaN	0.01912239	-0.1673366	7.518751e-005	-0.000250625
0.57	0	-0.0008553647	-3.051758e-008	NaN	NaN	NaN	0.01246314	-0.1584576	7.518751e-005	-0.000250625
0.58	-0.010025	-0.1074034	-0.0001002808	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.59	-0.0050125	-0.08076637	-0.0001503601	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.6	-0.0050125	-0.06744787	-0.000200531	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.61	-0.00250625	-0.02083312	-0.0002255249	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.62	-0.00250625	-0.04747012	-0.0002506104	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.63	0.0050125	-0.08076637	5.014038e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.64	0	-0.08742562	5.014038e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.65	-0.00250625	-0.08742562	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.66	0	-0.07410712	-3.051758e-008	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.67	0	-0.04081087	-3.051758e-008	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.68	-0.00751875	-0.1140626	-7.519531e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.69	0.00250625	-0.09408487	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.7	0	-0.08076637	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.71	0	-0.06744787	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.72	0.00250625	-0.02083312	5.014038e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.73	-0.00250625	-0.1406996	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.74	-0.00250625	-0.0008553647	-3.051758e-008	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.75	-0.0050125	-0.08742562	-5.010986e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.76	0.00250625	-0.07410712	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.77	0	-0.09408487	2.505493e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.78	-0.0050125	-0.03415162	-2.502441e-005	NaN	NaN	NaN	-0.0008553648	-0.1406996	7.518751e-005	-0.000250625
0.79	0	0.01912239	-3.051758e-008	NaN	NaN	NaN	0.005803886	-0.1362601	7.518751e-005	-0.000250625
0.8	0.00250625	-0.1273811	2.505493e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.000250625
0.81	0	-0.1007441	2.505493e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.000250625
0.82	0	-0.08076637	2.505493e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.000250625
0.83	0.0050125	-0.04747012	7.522583e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.0002088542
0.84	-0.00250625	-0.06078862	5.014038e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.0001253125
0.85	0.00250625	-0.1007441	2.505493e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.0001253125
0.86	0	-0.03415162	2.505493e-005	NaN	NaN	NaN	0.01912239	-0.1273811	7.518751e-005	-0.0001253125
0.87	0.0050125	-0.1074034	7.522583e-005	66.35944	0.00751875	-0.00751875	0.01912239	-0.1273811	7.518751e-005	-0.0001253125
0.88	0	0.03910014	7.522583e-005	66.35944	0.00751875	-0.00751875	0.02578164	-0.1318206	7.518751e-005	-0.0001253125
0.89	-0.0050125	-0.06078862	2.505493e-005	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.9	0	-0.007514615	-3.051758e-008	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.91	0	-0.06744787	-3.051758e-008	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.92	0.00250625	-0.06078862	2.505493e-005	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.93	-0.00250625	-0.06078862	-3.051758e-008	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.94	0	-0.1273811	-3.051758e-008	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.95	0.0050125	-0.05412937	5.014038e-005	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.96	0.00250625	-0.09408487	7.522583e-005	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
0.97	-0.00751875	-0.08742562	-3.051758e-008	66.35944	0.00751875	-0.00751875	0.03910014	-0.1406996	7.518751e-005	-0.0001253125
