# covent_pc_4
# Captured 2020-07-03 03:12:00.716674 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 10.000 0.953 2.579 2.939 0.586 0.305 0.000
0.010 10.000 0.979 2.466 3.046 0.586 0.305 0.000
0.020 10.000 0.994 2.661 3.168 0.582 0.307 0.000
0.030 10.000 0.966 2.549 2.924 0.586 0.305 0.000
0.040 10.000 0.954 2.883 2.917 0.592 0.302 0.000
0.050 10.000 0.958 2.934 2.929 0.597 0.299 0.000
0.060 10.000 0.992 3.007 3.038 0.593 0.301 0.000
0.070 10.000 0.980 3.233 3.007 0.594 0.301 0.000
0.080 10.000 0.951 2.814 2.794 0.601 0.297 0.000
0.090 10.000 0.965 3.188 3.119 0.603 0.296 0.000
0.100 10.000 0.988 3.337 2.918 0.601 0.297 0.000
0.110 10.000 0.970 3.226 2.808 0.604 0.296 0.000
0.120 10.000 0.955 3.538 2.826 0.609 0.292 0.000
0.130 10.000 0.983 3.591 3.046 0.608 0.293 0.000
0.140 10.000 1.001 3.659 2.970 0.603 0.296 0.000
0.150 10.000 1.005 3.420 3.198 0.598 0.299 0.000
0.160 10.000 0.968 3.190 2.991 0.602 0.297 0.000
0.170 10.000 0.960 3.509 2.924 0.606 0.294 0.000
0.180 10.000 0.986 3.525 2.969 0.604 0.295 0.000
0.190 10.000 1.005 3.664 3.071 0.598 0.298 0.000
0.200 10.000 0.997 3.480 2.819 0.596 0.300 0.000
0.210 10.000 0.977 3.085 2.915 0.597 0.299 0.000
0.220 10.000 0.965 3.363 2.836 0.601 0.297 0.000
0.230 10.000 0.987 3.237 2.791 0.599 0.298 0.000
0.240 10.000 0.988 3.230 2.708 0.597 0.299 0.000
0.250 10.000 0.989 3.375 2.821 0.595 0.300 0.000
0.260 10.000 0.963 2.913 2.777 0.600 0.298 0.000
0.270 10.000 0.985 3.276 2.910 0.598 0.299 0.000
0.280 10.000 0.971 3.339 2.852 0.601 0.297 0.000
0.290 10.000 1.020 3.362 3.146 0.591 0.303 0.000
0.300 10.000 1.008 3.375 3.074 0.586 0.305 0.000
0.310 10.000 0.947 2.864 2.830 0.595 0.300 0.000
0.320 10.000 0.939 2.993 2.538 0.604 0.296 0.000
0.330 10.000 1.016 3.268 3.120 0.593 0.301 0.000
0.340 10.000 1.061 3.220 3.329 0.576 0.311 0.000
0.350 10.000 0.979 2.704 3.007 0.579 0.309 0.000
0.360 10.000 0.943 2.505 2.932 0.588 0.304 0.000
0.370 10.000 0.942 2.763 2.697 0.596 0.300 0.000
0.380 10.000 1.011 2.896 3.152 0.587 0.305 0.000
0.390 10.000 1.019 2.894 3.204 0.579 0.309 0.000
0.400 10.000 0.988 2.654 3.053 0.579 0.309 0.000
0.410 10.000 0.930 2.508 2.775 0.591 0.302 0.000
0.420 10.000 0.949 2.755 2.991 0.597 0.299 0.000
0.430 10.000 0.995 2.959 3.064 0.592 0.302 0.000
0.440 10.000 1.020 3.182 3.061 0.583 0.307 0.000
0.450 10.000 0.987 2.742 3.003 0.583 0.307 0.000
