# covent_pc_2
# Captured 2020-07-03 03:09:30.290226 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 10.000 0.990 2.913 3.132 0.586 0.305 0.000
0.010 10.000 0.969 2.794 2.785 0.588 0.304 0.000
0.020 10.000 0.993 2.863 3.022 0.586 0.305 0.000
0.030 10.000 0.962 2.802 2.842 0.589 0.304 0.000
0.040 10.000 0.965 2.949 2.870 0.590 0.303 0.000
0.050 10.000 0.957 2.881 2.776 0.593 0.301 0.000
0.060 10.000 0.977 2.998 2.896 0.592 0.302 0.000
0.070 10.000 0.990 2.912 2.988 0.591 0.302 0.000
0.080 10.000 0.995 3.081 2.993 0.589 0.303 0.000
0.090 10.000 0.984 2.916 2.992 0.589 0.303 0.000
0.100 10.000 0.971 2.957 3.005 0.591 0.302 0.000
0.110 10.000 0.971 3.047 2.804 0.592 0.302 0.000
0.120 10.000 0.987 2.897 2.873 0.591 0.303 0.000
0.130 10.000 0.979 2.745 3.065 0.591 0.302 0.000
0.140 10.000 0.968 2.941 2.949 0.593 0.301 0.000
0.150 10.000 0.965 3.047 2.829 0.594 0.301 0.000
0.160 10.000 0.996 3.105 3.025 0.592 0.302 0.000
0.170 10.000 0.973 2.934 3.039 0.593 0.301 0.000
0.180 10.000 0.957 2.937 2.784 0.596 0.300 0.000
0.190 10.000 0.975 3.029 2.952 0.596 0.300 0.000
0.200 10.000 0.978 3.146 2.848 0.596 0.300 0.000
0.210 10.000 1.005 3.094 3.122 0.593 0.301 0.000
0.220 10.000 0.982 3.241 2.843 0.594 0.301 0.000
0.230 10.000 0.974 3.174 2.825 0.595 0.300 0.000
0.240 10.000 0.967 3.035 2.899 0.596 0.300 0.000
0.250 10.000 0.973 3.104 2.884 0.597 0.299 0.000
0.260 10.000 0.986 3.089 2.829 0.596 0.300 0.000
0.270 10.000 0.973 2.997 2.752 0.597 0.299 0.000
0.280 10.000 0.969 3.173 2.965 0.598 0.298 0.000
0.290 10.000 0.966 3.144 2.834 0.600 0.298 0.000
0.300 10.000 0.984 2.932 2.888 0.599 0.298 0.000
0.310 10.000 0.991 3.286 3.095 0.598 0.299 0.000
0.320 10.000 0.994 3.322 2.930 0.596 0.300 0.000
0.330 10.000 0.993 3.070 2.923 0.595 0.300 0.000
0.340 10.000 0.965 3.186 2.794 0.598 0.299 0.000
0.350 10.000 0.991 3.068 2.946 0.595 0.300 0.000
0.360 10.000 0.987 3.181 2.999 0.595 0.300 0.000
0.370 10.000 0.973 2.844 2.923 0.596 0.300 0.000
0.380 10.000 0.998 3.365 2.999 0.594 0.301 0.000
0.390 10.000 0.977 2.956 2.894 0.595 0.300 0.000
0.400 10.000 0.985 2.981 2.872 0.594 0.301 0.000
0.410 10.000 0.972 3.139 3.052 0.595 0.300 0.000
0.420 10.000 0.956 3.022 2.791 0.599 0.298 0.000
0.430 10.000 1.009 2.991 3.039 0.594 0.301 0.000
0.440 10.000 1.013 3.103 3.195 0.590 0.303 0.000
0.450 10.000 0.963 2.976 2.861 0.594 0.301 0.000
0.460 10.000 0.937 2.801 2.683 0.599 0.298 0.000
0.470 10.000 0.982 3.182 3.012 0.597 0.299 0.000
0.480 10.000 1.024 3.072 3.168 0.591 0.302 0.000
0.490 10.000 0.976 3.098 2.882 0.594 0.301 0.000
0.500 10.000 0.965 3.087 2.917 0.596 0.300 0.000
0.510 10.000 0.969 2.933 2.964 0.597 0.299 0.000
0.520 10.000 0.987 3.195 3.090 0.595 0.300 0.000
0.530 10.000 0.986 3.137 2.913 0.595 0.300 0.000
0.540 10.000 0.982 3.035 3.019 0.595 0.300 0.000
0.550 10.000 0.991 3.182 3.056 0.594 0.301 0.000
0.560 10.000 0.982 3.028 2.997 0.594 0.301 0.000
0.570 10.000 0.963 2.846 2.922 0.596 0.299 0.000
0.580 11.500 0.980 2.959 3.135 0.616 0.288 0.000
0.590 13.000 1.002 3.516 2.868 0.649 0.271 0.000
0.600 14.500 1.069 3.949 2.962 0.687 0.250 0.000
0.610 16.000 1.136 4.639 3.010 0.734 0.224 0.000
0.620 17.500 1.175 6.605 2.735 0.792 0.192 0.000
0.630 19.000 1.238 8.027 2.769 0.858 0.156 0.000
0.640 20.500 1.372 9.491 2.853 0.922 0.120 0.000
0.650 22.000 1.656 13.152 3.374 0.967 0.096 0.000
0.660 23.500 1.725 14.762 2.893 1.000 0.062 0.000
0.670 25.000 1.797 16.937 2.363 1.000 0.050 0.000
0.680 25.000 1.958 16.929 2.362 1.000 0.050 0.000
0.690 25.000 2.103 19.519 2.783 1.000 0.050 0.000
0.700 25.000 2.194 18.282 2.508 1.000 0.050 0.000
0.710 25.000 2.255 19.238 2.594 1.000 0.050 0.000
0.720 25.000 2.335 19.088 2.766 1.000 0.050 0.000
0.730 25.000 2.334 18.513 2.710 1.000 0.050 0.000
0.740 25.000 2.355 17.621 3.457 1.000 0.050 0.000
0.750 25.000 2.315 17.461 2.827 1.000 0.050 0.000
0.760 25.000 2.404 18.186 3.286 1.000 0.050 0.000
0.770 25.000 2.323 17.810 2.666 1.000 0.050 0.000
0.780 25.000 2.355 17.474 2.961 1.000 0.050 0.000
0.790 25.000 2.309 18.241 2.398 1.000 0.050 0.000
0.800 25.000 2.401 16.640 3.092 1.000 0.050 0.000
0.810 25.000 2.435 17.293 3.217 1.000 0.050 0.000
0.820 25.000 2.323 17.645 2.700 1.000 0.050 0.000
0.830 25.000 2.411 16.570 3.326 1.000 0.050 0.000
0.840 25.000 2.419 15.715 3.378 1.000 0.050 0.000
0.850 25.000 2.338 17.472 2.700 1.000 0.050 0.000
0.860 25.000 2.447 17.601 3.274 1.000 0.050 0.000
0.870 25.000 2.336 16.968 2.293 1.000 0.050 0.000
0.880 25.000 2.387 15.629 3.098 1.000 0.050 0.000
0.890 25.000 2.382 17.106 2.651 1.000 0.050 0.000
0.900 25.000 2.410 16.332 2.988 1.000 0.050 0.000
0.910 25.000 2.469 16.893 3.060 1.000 0.051 0.000
0.920 25.000 2.432 16.394 2.947 1.000 0.050 0.000
0.930 25.000 2.358 16.204 2.819 1.000 0.050 0.000
0.940 25.000 2.428 16.849 2.637 1.000 0.050 0.000
0.950 25.000 2.412 16.091 2.683 1.000 0.050 0.000
0.960 25.000 2.345 16.971 2.484 1.000 0.050 0.000
0.970 25.000 2.400 16.637 2.660 1.000 0.050 0.000
0.980 25.000 2.433 15.632 3.127 1.000 0.050 0.000
0.990 25.000 2.482 16.221 3.087 1.000 0.052 0.000
1.000 25.000 2.400 15.439 2.662 1.000 0.050 0.000
1.010 25.000 2.459 17.130 3.180 1.000 0.051 0.000
1.020 25.000 2.492 15.230 3.245 1.000 0.054 0.000
1.030 25.000 2.477 15.388 3.388 1.000 0.055 0.000
1.040 25.000 2.459 16.117 3.155 1.000 0.055 0.000
1.050 25.000 2.436 16.646 2.938 1.000 0.053 0.000
1.060 25.000 2.428 14.732 2.717 1.000 0.052 0.000
1.070 25.000 2.426 14.356 2.799 1.000 0.050 0.000
1.080 25.000 2.501 16.499 3.024 1.000 0.055 0.000
1.090 25.000 2.471 15.941 3.014 1.000 0.055 0.000
1.100 25.000 2.537 15.958 3.211 1.000 0.061 0.000
1.110 25.000 2.527 16.246 3.505 1.000 0.065 0.000
1.120 25.000 2.482 15.642 3.258 1.000 0.066 0.000
1.130 25.000 2.517 15.073 3.705 1.000 0.070 0.000
1.140 25.000 2.545 14.588 3.783 1.000 0.076 0.000
1.150 25.000 2.455 15.942 3.631 1.000 0.074 0.000
1.160 25.000 2.415 15.846 3.345 1.000 0.071 0.000
1.170 25.000 2.506 15.490 3.577 1.000 0.076 0.000
1.180 25.000 2.572 16.703 3.937 0.988 0.084 0.000
1.190 25.000 2.470 15.827 3.741 0.990 0.083 0.000
1.200 25.000 2.522 16.092 3.626 0.981 0.088 0.000
1.210 25.000 2.448 14.949 3.534 0.984 0.086 0.000
1.220 25.000 2.516 16.553 3.789 0.975 0.091 0.000
1.230 25.000 2.452 15.075 3.583 0.978 0.090 0.000
1.240 25.000 2.537 15.678 4.189 0.966 0.096 0.000
1.250 25.000 2.565 14.027 4.043 0.953 0.103 0.000
1.260 25.000 2.538 15.773 3.875 0.946 0.107 0.000
1.270 25.000 2.488 15.871 3.463 0.944 0.108 0.000
1.280 25.000 2.551 14.990 3.882 0.931 0.115 0.000
1.290 25.000 2.531 14.910 3.963 0.924 0.119 0.000
1.300 25.000 2.526 14.557 3.725 0.917 0.123 0.000
1.310 25.000 2.548 15.609 3.853 0.907 0.129 0.000
1.320 25.000 2.547 14.410 3.968 0.897 0.134 0.000
1.330 25.000 2.541 12.685 4.274 0.888 0.139 0.000
1.340 25.000 2.467 14.821 4.182 0.890 0.138 0.000
1.350 25.000 2.437 13.661 3.898 0.892 0.137 0.000
1.360 25.000 2.391 11.592 3.918 0.900 0.132 0.000
1.370 25.000 2.379 12.776 4.126 0.908 0.128 0.000
1.380 25.000 2.395 12.639 4.133 0.913 0.125 0.000
1.390 25.000 2.463 12.804 4.203 0.909 0.127 0.000
1.400 25.000 2.431 13.781 3.742 0.913 0.126 0.000
1.410 25.000 2.533 13.661 4.022 0.900 0.132 0.000
1.420 25.000 2.483 13.068 4.103 0.899 0.133 0.000
1.430 25.000 2.529 12.038 4.503 0.890 0.138 0.000
1.440 25.000 2.528 12.643 4.527 0.882 0.142 0.000
1.450 25.000 2.497 12.290 4.657 0.879 0.144 0.000
1.460 25.000 2.429 11.844 4.297 0.884 0.141 0.000
1.470 25.000 2.451 11.251 4.592 0.883 0.142 0.000
1.480 25.000 2.426 12.429 4.154 0.887 0.140 0.000
1.490 25.000 2.441 12.269 4.047 0.887 0.140 0.000
1.500 25.000 2.484 11.427 4.737 0.882 0.142 0.000
1.510 25.000 2.470 11.661 4.428 0.881 0.143 0.000
1.520 25.000 2.501 11.646 4.548 0.875 0.146 0.000
1.530 25.000 2.487 11.215 4.671 0.872 0.148 0.000
1.540 25.000 2.452 11.521 4.434 0.873 0.147 0.000
1.550 25.000 2.423 11.375 4.285 0.877 0.145 0.000
1.560 25.000 2.470 12.283 4.505 0.873 0.147 0.000
1.570 25.000 2.482 10.632 4.686 0.870 0.149 0.000
1.580 10.000 2.425 11.344 4.432 0.669 0.260 0.000
1.590 10.000 2.371 11.069 4.932 0.532 0.335 0.000
1.600 10.000 2.247 9.515 5.744 0.410 0.402 0.000
1.610 10.000 2.043 7.933 6.441 0.312 0.456 0.000
1.620 10.000 1.809 5.742 6.660 0.239 0.496 0.000
1.630 10.000 1.611 2.757 6.179 0.184 0.526 0.000
1.640 10.000 1.521 0.849 6.414 0.133 0.554 0.000
1.650 10.000 1.344 0.044 5.895 0.104 0.570 0.000
1.660 10.000 1.279 -0.031 5.828 0.077 0.585 0.000
1.670 10.000 1.210 0.084 5.590 0.057 0.596 0.000
1.680 10.000 1.160 0.040 5.444 0.050 0.600 0.000
1.690 10.000 1.128 0.015 5.283 0.050 0.600 0.000
1.700 10.000 1.111 0.071 5.214 0.050 0.600 0.000
1.710 10.000 1.082 0.010 5.021 0.050 0.600 0.000
1.720 10.000 1.081 0.002 5.022 0.050 0.600 0.000
1.730 10.000 1.074 -0.023 5.024 0.050 0.600 0.000
1.740 10.000 1.070 0.081 5.038 0.050 0.600 0.000
1.750 10.000 1.070 0.033 5.018 0.050 0.600 0.000
1.760 10.000 1.063 0.023 4.979 0.050 0.600 0.000
1.770 10.000 1.059 0.064 4.950 0.050 0.600 0.000
1.780 10.000 1.047 0.041 4.935 0.050 0.600 0.000
1.790 10.000 1.036 0.009 4.971 0.050 0.600 0.000
1.800 10.000 1.008 0.005 4.777 0.050 0.600 0.000
1.810 10.000 1.008 0.049 4.655 0.050 0.600 0.000
1.820 10.000 0.994 0.019 4.589 0.050 0.600 0.000
1.830 10.000 0.962 -0.010 4.396 0.053 0.599 0.000
1.840 10.000 0.958 0.078 4.575 0.055 0.597 0.000
1.850 10.000 0.964 -0.062 4.528 0.057 0.596 0.000
1.860 10.000 0.950 0.147 4.457 0.060 0.594 0.000
1.870 10.000 0.949 0.065 4.296 0.063 0.593 0.000
1.880 10.000 0.941 -0.004 4.291 0.068 0.590 0.000
1.890 10.000 0.946 0.080 4.467 0.071 0.588 0.000
1.900 10.000 0.933 0.001 4.326 0.076 0.586 0.000
1.910 10.000 0.928 -0.025 4.246 0.082 0.582 0.000
1.920 10.000 0.938 0.116 4.287 0.086 0.580 0.000
1.930 10.000 0.922 -0.056 4.277 0.092 0.577 0.000
1.940 10.000 0.934 0.038 4.283 0.096 0.574 0.000
1.950 10.000 0.913 0.025 4.234 0.104 0.570 0.000
1.960 10.000 0.914 0.098 4.238 0.111 0.567 0.000
1.970 10.000 0.904 -0.030 4.207 0.119 0.562 0.000
1.980 10.000 0.904 0.099 4.122 0.126 0.558 0.000
1.990 10.000 0.890 0.062 4.111 0.136 0.553 0.000
2.000 10.000 0.893 0.057 4.142 0.145 0.548 0.000
2.010 10.000 0.891 0.041 4.114 0.154 0.543 0.000
2.020 10.000 0.892 0.055 4.103 0.163 0.538 0.000
2.030 10.000 0.888 0.051 3.981 0.172 0.533 0.000
2.040 10.000 0.890 0.037 3.969 0.181 0.528 0.000
2.050 10.000 0.897 0.145 3.964 0.189 0.523 0.000
2.060 10.000 0.891 -0.029 3.886 0.198 0.518 0.000
2.070 10.000 0.895 0.053 3.896 0.207 0.514 0.000
2.080 10.000 0.890 0.073 3.785 0.216 0.509 0.000
2.090 10.000 0.888 0.018 3.671 0.225 0.504 0.000
2.100 10.000 0.892 0.107 3.731 0.234 0.499 0.000
2.110 10.000 0.891 0.093 3.713 0.243 0.494 0.000
2.120 10.000 0.894 0.037 3.582 0.252 0.489 0.000
2.130 10.000 0.896 0.121 3.537 0.260 0.485 0.000
2.140 10.000 0.894 -0.015 3.480 0.269 0.480 0.000
2.150 10.000 0.904 0.181 3.520 0.276 0.476 0.000
2.160 10.000 0.909 0.021 3.611 0.283 0.472 0.000
2.170 10.000 0.904 0.126 3.581 0.291 0.468 0.000
2.180 10.000 0.906 0.121 3.502 0.298 0.464 0.000
2.190 10.000 0.892 0.137 3.425 0.308 0.458 0.000
2.200 10.000 0.906 0.182 3.573 0.315 0.455 0.000
2.210 10.000 0.906 0.075 3.614 0.322 0.450 0.000
2.220 10.000 0.896 0.204 3.491 0.331 0.446 0.000
2.230 10.000 0.889 0.089 3.443 0.340 0.440 0.000
2.240 10.000 0.898 0.109 3.572 0.348 0.436 0.000
2.250 10.000 0.894 0.161 3.528 0.357 0.431 0.000
2.260 10.000 0.892 0.209 3.519 0.366 0.426 0.000
2.270 10.000 0.903 0.180 3.432 0.373 0.422 0.000
2.280 10.000 0.911 0.232 3.377 0.380 0.418 0.000
2.290 10.000 0.931 0.277 3.523 0.384 0.416 0.000
