# covent_pc_3
# Captured 2020-07-03 03:10:53.974487 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.960 5.000 0.542 1.171 1.748 0.465 0.372 0.000
0.970 5.000 0.527 0.977 1.639 0.458 0.376 0.000
0.980 5.000 0.510 0.883 1.436 0.455 0.378 0.000
0.990 5.000 0.496 0.837 1.447 0.454 0.378 0.000
1.000 5.000 0.515 0.805 1.615 0.448 0.381 0.000
1.010 5.000 0.511 0.707 1.612 0.444 0.383 0.000
1.020 5.000 0.496 0.655 1.636 0.444 0.384 0.000
1.030 5.000 0.489 0.771 1.640 0.444 0.383 0.000
1.040 5.000 0.489 0.707 1.627 0.445 0.383 0.000
1.050 5.000 0.493 0.735 1.665 0.444 0.383 0.000
1.060 5.000 0.463 0.749 1.520 0.451 0.380 0.000
1.070 5.000 0.462 0.784 1.525 0.456 0.376 0.000
1.080 5.000 0.453 0.811 1.255 0.464 0.372 0.000
1.090 5.000 0.459 0.733 1.415 0.470 0.369 0.000
1.100 5.000 0.465 0.965 1.309 0.475 0.366 0.000
1.110 5.000 0.472 0.881 1.448 0.478 0.364 0.000
1.120 5.000 0.466 1.107 1.365 0.484 0.362 0.000
1.130 5.000 0.456 0.997 1.276 0.491 0.357 0.000
1.140 5.000 0.469 1.306 1.380 0.495 0.355 0.000
1.150 5.000 0.487 1.347 1.526 0.495 0.355 0.000
1.160 5.000 0.474 1.335 1.304 0.498 0.353 0.000
1.170 5.000 0.449 1.371 1.417 0.508 0.348 0.000
1.180 5.000 0.480 1.586 1.686 0.508 0.348 0.000
1.190 5.000 0.478 1.827 1.486 0.511 0.346 0.000
1.200 5.000 0.485 1.942 1.565 0.512 0.346 0.000
1.210 5.000 0.458 2.048 1.472 0.519 0.342 0.000
1.220 5.000 0.462 2.013 1.325 0.525 0.339 0.000
1.230 5.000 0.477 2.257 1.403 0.527 0.338 0.000
1.240 5.000 0.481 2.215 1.324 0.529 0.337 0.000
1.250 5.000 0.484 2.144 1.451 0.530 0.336 0.000
1.260 5.000 0.487 2.321 1.542 0.530 0.336 0.000
1.270 5.000 0.499 2.318 1.645 0.528 0.337 0.000
1.280 5.000 0.502 2.331 1.704 0.525 0.338 0.000
1.290 5.000 0.509 2.342 1.617 0.521 0.341 0.000
1.300 5.000 0.502 2.174 1.650 0.519 0.342 0.000
1.310 5.000 0.485 2.184 1.347 0.521 0.341 0.000
1.320 5.000 0.520 2.276 1.553 0.514 0.345 0.000
1.330 5.000 0.528 2.217 1.608 0.506 0.349 0.000
1.340 5.000 0.513 1.839 1.609 0.502 0.351 0.000
1.350 5.000 0.477 1.748 1.443 0.506 0.349 0.000
1.360 5.000 0.496 1.708 1.764 0.504 0.350 0.000
1.370 5.000 0.522 1.769 1.619 0.497 0.354 0.000
1.380 5.000 0.511 1.548 1.502 0.493 0.356 0.000
1.390 5.000 0.500 1.432 1.539 0.492 0.357 0.000
1.400 5.000 0.493 1.518 1.454 0.491 0.357 0.000
1.410 5.000 0.504 1.260 1.487 0.488 0.359 0.000
1.420 5.000 0.513 1.395 1.575 0.483 0.362 0.000
1.430 5.000 0.512 1.099 1.587 0.479 0.364 0.000
1.440 5.000 0.488 1.102 1.570 0.480 0.363 0.000
1.450 5.000 0.488 1.279 1.439 0.481 0.363 0.000
1.460 5.000 0.497 1.101 1.284 0.479 0.364 0.000
1.470 5.000 0.503 1.180 1.602 0.476 0.366 0.000
1.480 5.000 0.501 1.099 1.546 0.474 0.367 0.000
1.490 5.000 0.488 1.024 1.496 0.475 0.366 0.000
1.500 5.000 0.471 0.993 1.392 0.480 0.364 0.000
1.510 5.000 0.483 0.991 1.395 0.481 0.363 0.000
1.520 5.000 0.475 1.134 1.560 0.484 0.361 0.000
1.530 5.000 0.480 0.980 1.459 0.486 0.360 0.000
