Interval=	0.01 s
ExcelDateTime=	4.4003156517691241e+004	6/21/2020 3:45:23.128523
TimeFormat=	StartOfBlock
DateFormat=
ChannelTitle=	Flow	Pressure	Volume	Breath Rate	Max Flow	Min Flow	Max Pressure	Min Pressure	Max Volume	Min Volume
Range=	20.000 L/s	5.000 mV	4.000 L	500.0000 BPM	100.0000 L/s	100.0000 L/s	100.0000 mmHg	100.0000 mmHg	100.0000 L	100.0000 L
UnitName=	*	mmHg	*	*	*	*	*	*	*	*
TopValue=	*	212.87	*	*	*	*	*	*	*	*
BottomValue=	*	-213.32	*	*	*	*	*	*	*	*
0.5	0.01754375	-0.007514615	0.000977478	137.9314	0.0250625	-0.0150375	0.09237414	-0.1007441	NaN	NaN
0.51	0.01253125	0.01246314	0.001102722	137.9314	0.0250625	-0.0150375	0.09237414	-0.1007441	NaN	NaN
0.52	-0.00250625	-0.08076637	0.001077728	137.9314	0.0250625	-0.0150375	0.09237414	-0.1007441	NaN	NaN
0.53	-0.00250625	-0.02083312	0.001052643	137.9314	0.0250625	-0.0150375	0.09237414	-0.1007441	NaN	NaN
0.54	0.02005	-0.03415162	0.001253143	137.9314	0.0250625	-0.0150375	0.09237414	-0.1007441	NaN	NaN
0.55	0.0150375	-0.0008553647	0.001403473	137.9314	0.0250625	-0.0150375	0.09237414	-0.1007441	NaN	NaN
0.56	0.00751875	0.02578164	0.001478729	137.9314	0.0250625	-0.0150375	0.07017664	-0.09852437	NaN	NaN
0.57	-0.010025	-0.01417387	0.001378479	137.9314	0.0250625	-0.0150375	0.02578163	-0.09408487	NaN	NaN
0.58	-0.0050125	-0.04081087	0.001328308	137.9314	0.0250625	-0.0150375	0.02578163	-0.09408487	NaN	NaN
0.59	0.010025	-0.09408487	0.0001002197	137.9314	0.0250625	-0.0150375	0.02578163	-0.09408487	NaN	NaN
0.6	0.02255625	0.03910014	0.0003258057	137.9314	0.0250625	-0.0150375	0.03022113	-0.1140626	NaN	NaN
0.61	0.0150375	-0.1540181	0.0004762268	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.62	0.0050125	-0.1007441	0.0005263062	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.63	-0.0150375	-0.06744787	0.0003759766	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.64	0.00751875	-0.1140626	7.522583e-005	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.65	0.02255625	-0.08742562	0.0003007202	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.66	0.02005	-0.06078862	0.0005012207	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.67	0.0050125	-0.01417387	0.0005513916	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.68	-0.00250625	0.005803885	0.0005263062	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.69	-0.0050125	-0.03415162	0.0004762268	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.7	0.0150375	-0.06744787	0.0001503906	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.71	0.01754375	-0.06744787	0.0003258057	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.72	0.00751875	-0.03415162	0.0004009705	137.9314	0.0250625	-0.0150375	0.03910014	-0.1540181	NaN	NaN
0.73	-0.00751875	0.01246314	0.0003258057	137.9314	0.0250625	-0.0150375	0.03022113	-0.1406996	NaN	NaN
0.74	-0.010025	-0.03415162	0.0002255554	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
0.75	0.01754375	-0.04747012	0.0001754761	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
0.76	0.02255625	-0.03415162	0.0004009705	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
