Interval=	0.01 s
ExcelDateTime=	4.4003182841235153e+004	6/21/2020 4:23:17.482718
TimeFormat=	StartOfBlock
DateFormat=
ChannelTitle=	Flow	Pressure	Volume	Breath Rate	Max Flow	Min Flow	Max Pressure	Min Pressure	Max Volume	Min Volume
Range=	20.000 L/s	5.000 mV	4.000 L	500.0000 BPM	100.0000 L/s	100.0000 L/s	100.0000 mmHg	100.0000 mmHg	100.0000 L	100.0000 L
UnitName=	*	mmHg	*	*	*	*	*	*	*	*
TopValue=	*	212.87	*	*	*	*	*	*	*	*
BottomValue=	*	-213.32	*	*	*	*	*	*	*	*
0	0	-0.09408487	-3.051758e-008	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.01	-0.00250625	-0.1606774	-2.502441e-005	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.02	0.0050125	0.06573714	5.014038e-005	NaN	NaN	NaN	0.06573714	-0.1806551	NaN	NaN
0.03	0.0050125	-0.03415162	0.0001002197	NaN	NaN	NaN	0.06573714	-0.1806551	NaN	NaN
0.04	-0.00250625	-0.1806551	7.522583e-005	NaN	NaN	NaN	0.06573714	-0.1806551	NaN	NaN
0.05	0	-0.1074034	-3.051758e-008	NaN	NaN	NaN	0.06573714	-0.1806551	NaN	NaN
0.06	0	0.01912239	-3.051758e-008	NaN	NaN	NaN	0.05019888	-0.1606774	NaN	NaN
0.07	-0.0050125	0.01912239	-5.010986e-005	NaN	NaN	NaN	0.01912239	-0.1207219	NaN	NaN
0.08	-0.00250625	-0.1207219	-7.519531e-005	NaN	NaN	NaN	0.01912239	-0.1207219	NaN	NaN
0.09	0.010025	-0.02083312	0.0001002197	NaN	NaN	NaN	0.01912239	-0.1207219	NaN	NaN
0.1	0.0050125	0.005803885	0.0001503906	NaN	NaN	NaN	0.01468289	-0.1362601	NaN	NaN
0.11	0.0050125	-0.1673366	0.00020047	NaN	NaN	NaN	0.005803885	-0.1673366	NaN	NaN
0.12	0.00250625	0.03244089	0.0002255554	NaN	NaN	NaN	0.01468289	-0.1717761	0.0002255625	-0.00010025
0.13	-0.0050125	-0.007514615	0.0001754761	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.14	0	-0.08076637	-3.051758e-008	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.15	0	-0.1606774	-3.051758e-008	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.16	0.010025	-0.08076637	0.0001002197	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.17	0.0050125	-0.1473589	0.0001503906	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.18	0.00250625	-0.06744787	0.0001754761	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.19	0.00250625	-0.1340404	0.00020047	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
0.2	-0.0050125	-0.07410712	0.0001503906	NaN	NaN	NaN	0.03244089	-0.1806551	0.0002255625	-0.00010025
