# Captured 2020-06-21 04:24:23.417792 by unknown user
# Built at revision 944c41f (dirty)
time(sec)  pc_setpoint  pressure  net_flow
1.950  25.000  24.899  121.200
1.960  25.000  25.393  98.772
1.970  25.000  25.381  79.353
1.980  25.000  25.106  70.584
1.990  25.000  25.438  38.607
2.000  25.000  25.145  42.052
2.010  25.000  24.923  50.945
2.020  25.000  25.328  35.145
2.030  25.000  25.337  11.344
2.040  25.000  25.127  19.701
2.050  25.000  25.020  15.888
2.060  25.000  25.056  -7.307
2.070  25.000  25.098  17.200
2.080  25.000  25.192  -28.561
2.090  25.000  25.339  -9.050
2.100  25.000  24.672  6.081
2.110  25.000  25.054  -17.524
2.120  25.000  25.009  -21.451
2.130  25.000  24.959  -4.762
2.140  25.000  24.751  -3.306
2.150  25.000  24.950  -16.126
2.160  25.000  24.793  -9.613
2.170  25.000  25.226  -21.478
2.180  25.000  24.695  3.213
2.190  25.000  24.904  9.657
2.200  25.000  24.917  2.714
2.210  25.000  24.823  -5.969
2.220  25.000  24.945  1.693
2.230  25.000  24.739  9.278
2.240  25.000  24.976  4.300
2.250  25.000  25.095  2.610
2.260  25.000  25.059  18.740
2.270  25.000  24.973  19.753
2.280  25.000  24.684  24.417
2.290  25.000  24.989  8.985
2.300  25.000  24.978  35.398
2.310  25.000  25.090  27.688
2.320  25.000  24.912  40.683
2.330  25.000  24.947  26.621
2.340  25.000  24.894  63.297
2.350  25.000  25.032  51.800
2.360  25.000  25.097  46.402
2.370  25.000  24.947  61.459
2.380  25.000  24.881  41.595
2.390  25.000  25.057  72.334
2.400  25.000  25.012  44.978
2.410  25.000  25.252  46.500
2.420  25.000  25.069  66.479
2.430  25.000  25.086  44.694
2.440  25.000  25.137  78.596
2.450  25.000  24.981  42.509
2.460  25.000  25.155  52.160
2.470  25.000  25.225  32.691
2.480  25.000  24.972  51.867
2.490  25.000  24.972  59.672
2.500  25.000  25.169  26.802
2.510  25.000  25.340  22.200
2.520  25.000  24.957  45.730
2.530  25.000  25.086  60.748
2.540  25.000  25.166  33.859
2.550  25.000  25.059  14.199
2.560  25.000  25.195  32.244
2.570  25.000  24.792  47.161
2.580  25.000  24.987  24.841
2.590  25.000  25.031  34.372
2.600  25.000  25.502  9.224
2.610  25.000  24.956  36.099
2.620  25.000  24.812  11.175
2.630  25.000  25.077  36.487
2.640  25.000  25.008  27.676
2.650  25.000  25.194  42.511
2.660  25.000  24.932  33.959
2.670  25.000  25.012  16.925
2.680  25.000  25.062  28.981
2.690  25.000  25.009  8.673
2.700  25.000  25.159  8.114
2.710  25.000  24.969  23.127
2.720  25.000  24.873  14.707
2.730  25.000  25.171  7.534
2.740  25.000  25.294  21.535
2.750  25.000  25.100  17.964
2.760  25.000  24.889  15.480
2.770  25.000  24.817  10.797
2.780  25.000  24.992  1.551
2.790  25.000  24.964  30.248
2.800  25.000  24.962  26.119
2.810  25.000  24.886  28.563
2.820  25.000  24.938  8.973
2.830  25.000  25.205  26.088
2.840  25.000  24.959  2.228
2.850  25.000  25.071  18.365
2.860  25.000  24.973  30.092
2.870  25.000  25.109  20.620
2.880  25.000  24.936  12.457
2.890  25.000  25.065  32.565
2.900  25.000  24.896  22.875
2.910  25.000  24.992  18.044
2.920  25.000  24.835  39.041
2.930  25.000  24.909  27.544
2.940  25.000  24.829  8.870
2.950  25.000  25.140  32.777
2.960  25.000  25.211  14.001
2.970  25.000  25.127  28.313
2.980  25.000  24.863  12.038
2.990  25.000  24.996  40.800
3.000  25.000  24.981  23.226
3.010  25.000  25.058  26.013
3.020  25.000  24.987  24.758
