# covent_pc_5
# Captured 2020-07-03 03:13:08.411757 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.960 20.000 2.009 10.119 4.344 0.810 0.182 0.000
0.970 20.000 2.053 10.790 4.475 0.799 0.188 0.000
0.980 20.000 2.005 9.078 4.504 0.796 0.190 0.000
0.990 20.000 1.946 8.874 4.366 0.800 0.187 0.000
1.000 20.000 1.974 8.508 4.209 0.798 0.189 0.000
1.010 20.000 2.019 8.730 4.711 0.790 0.193 0.000
1.020 20.000 1.950 8.682 4.368 0.794 0.191 0.000
1.030 20.000 2.044 8.619 4.747 0.782 0.197 0.000
1.040 20.000 1.958 8.054 4.223 0.786 0.195 0.000
1.050 20.000 2.001 8.442 4.500 0.780 0.199 0.000
1.060 20.000 1.985 8.564 4.483 0.778 0.199 0.000
1.070 20.000 1.993 8.530 4.555 0.775 0.201 0.000
1.080 20.000 2.046 8.566 4.779 0.764 0.207 0.000
1.090 20.000 2.057 7.860 5.023 0.754 0.213 0.000
1.100 20.000 2.017 7.044 4.859 0.750 0.215 0.000
1.110 20.000 2.061 7.246 5.065 0.738 0.221 0.000
1.120 20.000 1.961 6.660 4.307 0.742 0.219 0.000
1.130 20.000 1.986 6.558 4.718 0.739 0.221 0.000
1.140 20.000 1.983 6.957 4.523 0.737 0.222 0.000
1.150 20.000 1.980 6.490 4.498 0.735 0.223 0.000
1.160 20.000 1.969 5.960 4.554 0.735 0.223 0.000
1.170 20.000 2.000 6.052 4.683 0.730 0.226 0.000
1.180 20.000 2.004 5.689 4.839 0.725 0.229 0.000
1.190 20.000 1.980 6.166 4.667 0.724 0.229 0.000
1.200 20.000 1.987 6.044 4.399 0.722 0.231 0.000
1.210 20.000 1.964 6.090 4.567 0.722 0.230 0.000
1.220 20.000 2.000 5.778 4.833 0.717 0.233 0.000
1.230 20.000 1.973 6.071 4.479 0.717 0.233 0.000
1.240 20.000 1.992 5.763 4.578 0.713 0.235 0.000
1.250 20.000 2.037 5.773 5.034 0.704 0.240 0.000
1.260 20.000 1.996 5.787 4.664 0.702 0.242 0.000
1.270 20.000 2.018 5.560 4.982 0.695 0.245 0.000
1.280 20.000 1.963 5.717 4.507 0.697 0.244 0.000
1.290 20.000 1.991 5.248 4.570 0.693 0.246 0.000
1.300 20.000 2.011 5.193 4.837 0.687 0.249 0.000
1.310 20.000 1.998 5.129 4.810 0.684 0.251 0.000
