# This is based on https://github.com/RespiraWorks/VentilatorSoftware/blob/f426ea02efdd4b04b6fe720802c9cd23de6b0672/sample-data/2020-06-21-RunForRecord2-AIR-and-OXY/20200621-RunForRecord2-OXY/covent_pc_1.dat
# rearranged into the form GUI expects with a breath_id added using a shell script
# on the condition "pressure setpoint transitioned from non-5.000 to 5.000".
#
# covent_pc_1
# Captured 2020-06-21 05:14:27.386497 by unknown user
# Built at revision 050777a (dirty)
time(sec) pressure net_flow volume breath_id
1.600 15.735 238.827 491.060 2
1.610 16.005 221.762 493.363 2
1.620 15.731 172.885 495.335 2
1.630 15.736 215.492 497.277 2
1.640 15.745 162.770 499.168 2
1.650 15.711 142.397 500.694 2
1.660 15.504 130.189 502.057 2
1.670 15.688 79.388 503.105 2
1.680 15.170 105.954 504.032 2
1.690 15.372 60.499 504.864 2
1.700 15.395 39.920 505.366 2
1.710 15.473 39.887 505.765 2
1.720 15.435 1.662 505.973 2
1.730 15.141 1.086 505.987 2
1.740 15.337 -17.472 505.905 2
1.750 15.149 -20.241 505.716 2
1.760 15.340 -17.845 505.526 2
1.770 15.173 -47.785 505.198 3
1.780 14.978 -580.174 502.058 3
1.790 9.455 -719.453 495.560 3
1.800 11.748 -404.574 489.940 3
1.810 12.646 -669.911 484.567 3
1.820 13.204 -403.041 479.202 3
1.830 12.789 -491.772 474.728 3
1.840 12.634 -451.090 470.014 3
1.850 12.333 -472.719 465.395 3
1.860 12.421 -461.585 460.723 3
1.870 12.303 -450.841 456.161 3
1.880 12.139 -457.808 451.617 3
1.890 12.176 -455.974 447.050 3
1.900 12.008 -465.126 442.444 3
1.910 11.919 -445.284 437.892 3
1.920 11.728 -442.077 433.455 3
1.930 11.720 -446.781 429.011 3
1.940 11.717 -442.776 424.563 3
1.950 11.602 -437.876 420.160 3
1.960 11.575 -459.499 415.673 3
1.970 11.348 -443.905 411.156 3
1.980 11.331 -443.255 406.720 3
1.990 11.216 -438.971 402.309 3
2.000 11.125 -431.373 397.957 3
2.010 11.054 -435.420 393.623 3
2.020 11.042 -435.586 389.268 3
2.030 10.905 -428.638 384.946 3
2.040 10.799 -426.600 380.671 3
2.050 10.779 -421.182 376.433 3
2.060 10.736 -410.036 372.276 3
2.070 10.568 -419.397 368.129 3
2.080 10.602 -403.970 364.012 3
2.090 10.301 -410.258 359.941 3
2.100 10.340 -407.870 355.850 3
2.110 10.259 -412.839 351.747 3
2.120 10.220 -408.229 347.642 3
2.130 10.195 -396.040 343.620 3
2.140 10.027 -392.782 339.676 3
2.150 10.063 -405.071 335.687 3
2.160 10.007 -402.211 331.651 3
2.170 9.942 -401.251 327.633 3
2.180 9.867 -393.291 323.661 3
2.190 9.842 -399.067 319.699 3
2.200 9.685 -386.779 315.770 3
2.210 9.612 -382.252 311.925 3
2.220 9.480 -384.321 308.092 3
2.230 9.467 -385.702 304.242 3
2.240 9.421 -390.642 300.360 3
2.250 9.334 -387.061 296.472 3
2.260 9.293 -369.209 292.690 3
2.270 9.212 -377.386 288.957 3
2.280 9.222 -384.305 285.148 3
2.290 9.194 -376.190 281.347 3
2.300 9.030 -365.581 277.638 3
2.310 9.017 -368.854 273.966 3
2.320 8.980 -375.589 270.243 3
2.330 8.935 -361.884 266.556 3
2.340 8.795 -361.016 262.942 3
2.350 8.756 -356.773 259.353 3
