# Captured 2020-06-18 16:25:11.789034 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then disconnected the hose for a few cycles, and then reconnected it.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
1.450  4.860  -393.242  -379.268  5.000
1.460  4.821  -365.645  -351.671  5.000
1.470  4.904  -323.660  -309.685  5.000
1.480  4.649  -326.856  -312.882  5.000
1.490  4.561  -307.248  -293.274  5.000
1.500  4.517  -294.364  -280.390  5.000
1.510  4.582  -246.259  -232.284  5.000
1.520  4.508  -256.254  -242.280  5.000
1.530  4.206  -229.860  -215.886  5.000
1.540  4.233  -223.922  -209.947  5.000
1.550  4.071  -235.284  -221.310  5.000
1.560  3.912  -199.910  -185.936  5.000
1.570  3.903  -185.823  -171.849  5.000
1.580  3.919  -201.649  -187.675  5.000
1.590  3.745  -186.525  -172.551  5.000
1.600  3.730  -158.592  -144.618  5.000
1.610  3.963  -166.343  -152.369  5.000
1.620  3.864  -164.676  -150.701  5.000
1.630  3.795  -160.948  -146.974  5.000
1.640  3.703  -151.948  -137.974  5.000
1.650  3.773  -111.334  -97.359  5.000
1.660  3.849  -121.493  -107.519  5.000
1.670  3.684  -114.441  -100.467  5.000
1.680  3.625  -124.966  -110.992  5.000
1.690  3.885  -127.319  -113.345  5.000
1.700  3.893  -149.465  -135.491  5.000
1.710  3.614  -149.368  -135.394  5.000
1.720  3.671  -110.534  -96.560  5.000
1.730  3.488  -48.161  -34.187  5.000
1.740  3.732  -41.901  -27.927  5.000
1.750  3.815  -52.548  -38.574  5.000
1.760  3.593  -55.179  -41.205  5.000
1.770  3.714  -33.758  -19.784  5.000
1.780  3.656  -21.628  -7.654  5.000
1.790  3.732  4.065  18.039  5.000
1.800  3.665  -32.087  -18.112  5.000
1.810  3.776  -51.368  -37.394  5.000
1.820  3.600  -72.339  -58.365  5.000
1.830  3.619  -23.063  -9.089  5.000
1.840  3.866  -32.102  -18.128  5.000
1.850  3.726  -54.880  -40.906  5.000
1.860  3.649  -39.284  -25.310  5.000
1.870  3.663  -36.611  -22.636  5.000
1.880  3.589  -27.466  -13.492  5.000
1.890  3.470  14.897  28.871  5.000
1.900  3.629  29.879  43.853  5.000
1.910  3.369  33.150  47.124  5.000
1.920  3.537  17.989  31.963  5.000
1.930  3.696  10.136  24.111  5.000
1.940  3.584  27.896  41.870  5.000
1.950  3.662  36.846  50.820  5.000
1.960  3.660  52.172  66.146  5.000
1.970  3.465  44.450  58.424  5.000
1.980  4.029  18.553  32.527  5.000
1.990  3.710  48.762  62.737  5.000
2.000  3.806  31.101  45.075  5.000
2.010  3.697  34.939  48.913  5.000
2.020  3.866  28.709  42.683  5.000
2.030  3.561  8.886  22.860  5.000
2.040  3.706  7.066  21.040  5.000
2.050  3.760  -6.171  7.803  5.000
2.060  3.827  7.150  21.124  5.000
2.070  3.888  19.420  33.394  5.000
2.080  3.827  2.976  16.951  5.000
2.090  3.789  -26.075  -12.100  5.000
2.100  3.979  5.871  19.845  5.000
2.110  3.739  -3.613  10.361  5.000
2.120  3.770  4.279  18.253  5.000
2.130  3.767  8.467  22.441  5.000
2.140  3.900  -7.219  6.755  5.000
2.150  3.886  7.387  21.361  5.000
2.160  3.970  7.007  20.981  5.000
2.170  3.934  8.960  22.934  5.000
2.180  3.836  17.982  31.956  5.000
2.190  3.953  3.414  17.388  5.000
2.200  4.141  -8.733  5.242  5.000
2.210  4.008  -22.407  -8.433  5.000
2.220  3.914  -16.614  -2.640  5.000
2.230  3.836  -35.055  -21.081  5.000
2.240  3.803  13.748  27.722  5.000
2.250  3.833  20.325  34.299  5.000
2.260  3.680  33.366  47.340  5.000
2.270  4.166  3.736  17.710  5.000
2.280  3.938  2.992  16.966  5.000
2.290  3.710  1.554  15.528  5.000
2.300  3.967  -26.621  -12.647  5.000
2.310  3.875  1.916  15.890  5.000
2.320  3.957  15.229  29.203  5.000
2.330  3.919  4.234  18.208  5.000
2.340  4.179  -19.751  -5.777  5.000
2.350  3.899  6.789  20.763  5.000
2.360  4.243  -12.639  1.336  5.000
2.370  4.236  -27.423  -13.449  5.000
2.380  3.913  -20.317  -6.343  5.000
2.390  3.991  -16.183  -2.209  5.000
2.400  3.906  -10.313  3.661  5.000
2.410  3.968  35.801  49.775  5.000
2.420  4.150  20.558  34.533  5.000
2.430  3.892  26.549  40.523  5.000
2.440  4.010  7.111  21.085  5.000
2.450  4.102  -13.496  0.478  5.000
2.460  4.293  -36.162  -22.188  5.000
2.470  4.148  -47.919  -33.944  5.000
2.480  4.042  -24.707  -10.733  5.000
2.490  3.745  -3.901  10.073  5.000
2.500  3.887  40.770  54.744  5.000
2.510  3.871  67.293  81.267  5.000
2.520  3.984  27.558  41.532  5.000
2.530  3.939  22.267  36.241  5.000
2.540  3.758  89.692  103.666  5.000
2.550  4.084  50.838  64.812  5.000
2.560  4.170  34.408  48.382  5.000
2.570  4.097  -1.780  12.194  5.000
2.580  3.952  15.001  28.975  5.000
2.590  3.920  35.284  49.258  5.000
2.600  4.114  67.979  81.953  5.000
2.610  3.902  44.710  58.684  5.000
2.620  3.701  77.627  91.601  5.000
2.630  4.225  92.615  106.589  5.000
2.640  4.151  69.854  83.828  5.000
2.650  4.082  27.317  41.291  5.000
2.660  3.672  39.202  53.176  5.000
2.670  3.583  136.263  150.237  5.000
2.680  3.787  182.770  196.744  5.000
2.690  3.817  149.094  163.069  5.000
2.700  4.346  93.786  107.760  5.000
2.710  4.548  37.304  51.278  5.000
2.720  4.346  -0.080  13.894  5.000
2.730  4.087  0.396  14.370  5.000
2.740  4.547  5.568  19.543  5.000
2.750  4.496  -11.549  2.425  5.000
2.760  4.285  -0.248  13.726  5.000
2.770  3.613  39.773  53.747  5.000
2.780  3.518  128.907  142.881  5.000
2.790  4.280  193.716  207.690  5.000
2.800  4.396  133.632  147.606  5.000
2.810  3.702  30.391  44.365  5.000
2.820  3.981  69.455  83.429  5.000
2.830  4.803  85.082  99.056  5.000
2.840  4.792  51.711  65.685  5.000
2.850  4.663  -35.842  -21.868  5.000
2.860  4.299  -42.004  -28.030  5.000
2.870  4.347  9.260  23.234  5.000
2.880  4.412  25.478  39.452  5.000
2.890  4.695  -26.093  -12.119  5.000
2.900  4.732  -66.207  -52.233  5.000
2.910  4.531  -68.414  -54.440  5.000
2.920  4.154  3.192  17.166  5.000
2.930  3.958  74.416  88.390  5.000
2.940  4.199  129.322  143.296  5.000
2.950  4.598  97.675  111.649  5.000
2.960  5.030  -27.812  -13.838  5.000
2.970  4.453  -13.661  0.313  5.000
2.980  4.268  -7.076  6.898  5.000
2.990  4.353  47.778  61.752  5.000
3.000  4.006  57.957  71.931  5.000
3.010  4.073  124.808  138.782  5.000
3.020  4.355  133.350  147.324  5.000
3.030  4.695  77.017  90.991  5.000
3.040  4.529  33.757  47.731  5.000
3.050  4.372  13.348  27.322  5.000
3.060  4.732  1.548  15.522  5.000
3.070  4.556  -1.347  12.627  5.000
3.080  4.359  -6.067  7.907  5.000
3.090  4.273  49.934  63.908  5.000
3.100  4.440  95.889  109.863  5.000
3.110  4.518  46.469  60.443  5.000
3.120  4.741  24.529  38.503  5.000
3.130  4.826  -6.488  7.486  5.000
3.140  4.897  -32.575  -18.601  5.000
3.150  4.883  -53.103  -39.129  5.000
3.160  4.898  -51.401  -37.427  5.000
3.170  5.063  -57.112  -43.138  5.000
3.180  5.124  -77.452  -63.478  5.000
