# This data was recorded by jlebar on 2020-05-14 with a pizza build.
#
# Run at revision 12aba171a64def35a85b99373308d82bc5aa5c54 with DEV_MODE
# enabled.
#
# At startup, the blower was disconnected.  The blower was then connected, and
# data collected began after that.
#
# The ventilator was connected to an IngMar Medical test lung, with the outer
# two springs connected.  The test lung nominally has four input settings (top,
# left, right, and bottom), but we currently lack the connector necessary to
# choose between them, so our setup is blowing into all of them.
#
# The output flow nozzle was set to fully open (i.e. no restriction).
#
# Settings:
#
#  gui_status->desired_params.mode = VentMode_PRESSURE_CONTROL;
#  gui_status->desired_params.breaths_per_min = 12;
#  gui_status->desired_params.peep_cm_h2o = 5;
#  gui_status->desired_params.pip_cm_h2o = 15;
#  gui_status->desired_params.inspiratory_expiratory_ratio = 0.66f;
#
# Format:
#  auto &r = controller_status.sensor_readings;
#  debugPrint("%.4f, ", controller_status.fan_setpoint_cm_h2o);
#  debugPrint("%.4f, ", r.patient_pressure_cm_h2o);
#  debugPrint("%.4f, ", r.inflow_pressure_diff_cm_h2o);
#  debugPrint("%.4f, ", r.outflow_pressure_diff_cm_h2o);
#  debugPrint("%.4f, ", r.flow_ml_per_min / 1000.0f);
#  debugPrint("%.4f, ", r.volume_ml / 10.f);
#  debugPrint("\n");
#
# Samples taken every 10ms.

5.0000, 6.2612, 6.1959, 6.3048, -0.3977, -24.3900,
5.0000, 5.9563, 5.9096, 6.1679, -0.9595, -24.3948,
5.0000, 5.8442, 5.7913, 6.1492, -1.3371, -24.3965,
5.0000, 6.0496, 5.8162, 6.1430, -1.2198, -24.4080,
5.0000, 5.9562, 5.9718, 6.1990, -0.8406, -24.4115,
5.0000, 6.0247, 5.6731, 6.2488, -2.1530, -24.4241,
5.0000, 5.8629, 5.8224, 6.0870, -0.9895, -24.4295,
5.0000, 5.8691, 5.8224, 6.1181, -1.1045, -24.4381,
5.0000, 5.9998, 5.8722, 6.1430, -1.0083, -24.4418,
5.0000, 5.8940, 5.7229, 6.0807, -1.3448, -24.4527,
5.0000, 5.7944, 5.7104, 6.0123, -1.1382, -24.4562,
5.0000, 5.8007, 5.7726, 5.9500, -0.6688, -24.4647,
5.0000, 5.8878, 5.8287, 6.1616, -1.2415, -24.4722,
5.0000, 5.8318, 5.8847, 6.0123, -0.4775, -24.4736,
5.0000, 5.8567, 5.6357, 5.9687, -1.2620, -24.4782,
5.0000, 5.8069, 5.7104, 5.9251, -0.8126, -24.4810,
5.0000, 5.7820, 5.7540, 6.0372, -1.0647, -24.4866,
5.0000, 6.0309, 5.8287, 6.2239, -1.4698, -24.4891,
5.0000, 5.7073, 5.8349, 5.9189, -0.3164, -24.4991,
5.0000, 5.7944, 5.8349, 6.0496, -0.8041, -24.5008,
5.0000, 5.7135, 5.6731, 5.9251, -0.9555, -24.5072,
5.0000, 5.7695, 5.8536, 5.8504, 0.0117, -24.5096,
5.0000, 5.8069, 5.6544, 5.9189, -1.0038, -24.5111,
5.0000, 5.6451, 5.7664, 5.9127, -0.5525, -24.5135,
