# Captured 2020-06-20 10:24:44.916993 by jkff
# Built at revision 15e86df (dirty - added the breath_id debug variable)
#
# This uses default GUI parameters:
#  Command Pressure mode
#  PIP 15
#  PEEP 5
#  RR 12
#  I-Time 1
#
# The test lung is the simple one (blue bag between two styrofoam sheets and a
# rubber band, tubes tucked under the band for more resistance)
#
# To re-capture:
# * Fire up the vent and also connect it to your computer over serial
# * Run utils/controller_debug.py
# * In there, say:
#
#  ] trace start pressure net_flow volume
#  ] get trace_samples
#  ... (repeat until it says 4096) ...
#  ] trace download --dest=trace.dat
#
time(sec) pressure net_flow volume breath_id
1.400 17.002 -181.767 135.155 181114150
1.410 16.753 -155.600 133.469 181114150
1.420 16.355 -213.497 131.623 181114150
1.430 16.168 -197.701 129.568 181114150
1.440 15.877 -211.010 127.524 181114150
1.450 15.639 -215.168 125.392 181114150
1.460 15.382 -207.993 123.277 181114150
1.470 15.049 -223.087 121.122 181114150
1.480 14.721 -210.022 118.956 181114150
1.490 14.506 -185.994 116.977 181114150
1.500 14.251 -182.960 115.132 181114150
1.510 13.993 -192.751 113.253 181114150
1.520 13.787 -161.463 111.482 181114150
1.530 13.575 -148.110 109.934 181114150
1.540 13.424 -131.434 108.537 181114150
1.550 13.150 -131.501 107.222 181114150
1.560 12.642 -149.268 105.818 181114150
1.570 12.261 -253.917 103.801 181114150
1.580 12.141 -268.267 101.191 181114150
1.590 12.077 -281.848 98.441 181114150
1.600 11.670 -312.502 95.469 181114150
1.610 11.282 -279.053 92.512 181114150
1.620 11.033 -272.179 89.754 181114150
1.630 10.757 -278.185 87.004 181114150
1.640 10.440 -296.743 84.129 181114150
1.650 10.234 -284.589 81.222 181114150
1.660 9.959 -252.988 78.534 181114150
1.670 9.711 -290.307 75.818 181114150
1.680 9.497 -263.530 73.049 181114150
1.690 9.255 -265.719 70.402 181114150
1.700 9.040 -262.378 67.762 181114150
1.710 8.798 -268.511 65.108 181114150
1.720 8.637 -237.649 62.577 181114150
1.730 8.369 -259.090 60.093 181114150
1.740 8.183 -261.884 57.488 181114150
1.750 7.996 -256.961 54.893 181114150
1.760 7.797 -221.943 52.499 181114150
1.770 7.560 -224.214 50.269 181114150
1.780 7.426 -239.400 47.951 181114150
1.790 7.195 -225.749 45.625 181114150
1.800 7.031 -222.178 43.385 181114150
1.810 6.823 -228.215 41.133 181114150
1.820 6.691 -193.565 39.024 181114150
1.830 6.453 -218.009 36.967 181114150
1.840 6.347 -208.639 34.833 181114150
1.850 6.134 -213.571 32.722 181114150
1.860 5.914 -187.495 30.717 181114150
1.870 5.846 -182.046 28.869 181114150
1.880 5.596 -202.428 26.947 181114150
1.890 5.425 -175.837 25.056 181114150
1.900 5.230 -195.611 23.198 181114150
1.910 5.023 -178.792 21.326 181114150
1.920 4.800 -178.012 19.542 181114150
1.930 4.585 -176.477 17.770 181114150
1.940 4.367 -159.457 16.090 181114150
1.950 4.127 -151.712 14.534 181114150
1.960 3.903 -143.862 13.057 181114150
1.970 3.721 -138.212 11.646 181114150
1.980 3.462 -96.832 10.471 181114150
1.990 3.248 -109.949 9.437 181114150
2.000 3.075 -88.819 8.443 181114150
2.010 2.902 -85.296 7.573 181114150
2.020 2.767 -106.843 6.612 181114150
2.030 2.663 -71.627 5.720 181114150
2.040 2.558 -37.304 5.175 181114150
2.050 2.478 -36.879 4.804 181114150
2.060 2.506 -19.014 4.524 181114150
2.070 2.441 2.553 4.442 181114150
2.080 2.400 -8.352 4.413 181114150
2.090 2.442 6.232 4.403 181114150
2.100 2.520 7.987 4.474 181114150
2.110 2.631 33.899 4.683 181114150
2.120 2.826 93.157 5.319 181114150
2.130 3.063 53.368 6.051 181114150
2.140 3.173 107.312 6.854 181114150
2.150 3.511 96.227 7.872 181114150
2.160 3.811 137.983 9.043 181114150
2.170 4.089 106.217 10.264 181114150
2.180 4.470 144.607 11.518 181114150
2.190 4.871 141.829 12.950 181114150
2.200 5.221 113.523 14.227 181114150
2.210 5.434 269.958 16.145 181114150
2.220 5.735 86.938 17.929 181114150
2.230 5.866 127.470 19.001 181114150
2.240 5.987 72.856 20.003 181114150
2.250 6.073 164.022 21.187 181114150
2.260 6.177 83.363 22.424 181114150
2.270 6.240 56.434 23.123 181114150
2.280 6.341 44.640 23.629 181114150
2.290 6.364 0.861 23.856 181114150
2.300 6.393 0.660 23.864 181114150
2.310 6.407 -14.931 23.792 181114150
2.320 6.382 -52.520 23.455 181114150
2.330 6.363 -50.883 22.938 181114150
2.340 6.250 -32.391 22.522 181114150
2.350 6.192 -55.864 22.080 181114150
2.360 6.110 -42.880 21.587 181114150
2.370 6.036 -40.997 21.167 181114150
2.380 5.906 -68.232 20.621 181114150
2.390 5.818 -49.995 20.030 181114150
2.400 5.752 -52.321 19.518 181114150
2.410 5.644 -73.428 18.890 181114150
2.420 5.517 -34.698 18.349 181114150
2.430 5.465 -45.691 17.947 181114150
2.440 5.349 -54.282 17.448 181114150
2.450 5.257 -72.187 16.815 181114150
2.460 5.154 -85.991 16.024 181114150
2.470 5.079 -51.857 15.335 181114150
2.480 4.948 -72.983 14.711 181114150
2.490 4.850 -89.071 13.900 181114150
2.500 4.766 -61.708 13.147 181114150
2.510 4.667 -62.677 12.525 181114150
2.520 4.545 -62.335 11.900 181114150
2.530 4.469 -33.427 11.421 181114150
2.540 4.410 -24.684 11.130 181114150
2.550 4.310 -60.943 10.702 181114150
2.560 4.260 -50.036 10.147 181114150
2.570 4.201 -26.884 9.763 181114150
2.580 4.127 -26.863 9.494 181114150
2.590 4.052 -40.597 9.157 181114150
2.600 3.994 -39.834 8.754 181114150
2.610 3.950 -27.603 8.417 181114150
2.620 3.919 -37.215 8.093 181114150
2.630 3.949 -21.111 7.802 181114150
2.640 3.927 10.352 7.748 181114150
2.650 3.928 -5.739 7.771 181114150
2.660 3.995 -12.978 7.677 181114150
2.670 4.069 38.279 7.804 181114150
2.680 4.160 41.939 8.205 181114150
2.690 4.303 44.556 8.637 181114150
2.700 4.400 47.486 9.097 181114150
2.710 4.543 40.476 9.537 181114150
2.720 4.619 43.257 9.956 181114150
2.730 4.776 66.401 10.504 181114150
2.740 4.881 55.603 11.114 181114150
2.750 4.977 14.117 11.463 181114150
2.760 5.123 44.978 11.758 181114150
2.770 5.206 29.843 12.132 181114150
2.780 5.252 92.202 12.743 181114150
2.790 5.370 51.538 13.461 181114150
2.800 5.438 18.491 13.812 181114150
2.810 5.519 24.788 14.028 181114150
2.820 5.551 20.138 14.253 181114150
2.830 5.607 29.761 14.502 181114150
2.840 5.660 -9.562 14.603 181114150
2.850 5.721 10.272 14.607 181114150
2.860 5.721 -13.727 14.589 181114150
2.870 5.664 -10.546 14.468 181114150
2.880 5.652 2.250 14.426 181114150
2.890 5.595 -20.576 14.335 181114150
2.900 5.591 -17.044 14.147 181114150
2.910 5.538 -25.769 13.933 181114150
2.920 5.483 -29.437 13.657 181114150
2.930 5.379 -36.855 13.325 181114150
2.940 5.338 -31.570 12.983 181114150
2.950 5.252 -65.527 12.498 181114150
2.960 5.184 -48.274 11.929 181114150
2.970 5.071 -17.723 11.598 181114150
2.980 4.981 -63.971 11.190 181114150
2.990 4.928 -44.388 10.648 181114150
3.000 4.803 -53.639 10.158 181114150
3.010 4.750 -31.626 9.732 181114150
3.020 4.712 -29.644 9.426 181114150
3.030 4.634 -36.175 9.096 181114150
3.040 4.562 -34.724 8.742 181114150
3.050 4.559 6.936 8.603 181114150
3.060 4.494 -31.670 8.479 181114150
3.070 4.469 -36.181 8.140 181114150
3.080 4.473 -15.707 7.881 181114150
3.090 4.477 -4.140 7.781 181114150
3.100 4.477 -13.066 7.695 181114150
3.110 4.534 -5.001 7.605 181114150
3.120 4.588 33.801 7.749 181114150
3.130 4.625 0.968 7.923 181114150
3.140 4.695 15.098 8.003 181114150
3.150 4.741 21.834 8.188 181114150
3.160 4.774 41.558 8.505 181114150
3.170 4.858 -8.413 8.671 181114150
3.180 4.960 40.371 8.830 181114150
3.190 5.041 46.137 9.263 181114150
3.200 5.095 -2.688 9.480 181114150
3.210 5.181 49.282 9.713 181114150
3.220 5.261 29.262 10.106 181114150
3.230 5.273 32.263 10.413 181114150
3.240 5.317 2.847 10.589 181114150
3.250 5.367 16.593 10.686 181114150
3.260 5.384 -4.264 10.748 181114150
3.270 5.379 0.560 10.729 181114150
3.280 5.398 -18.218 10.641 181114150
3.290 5.395 7.607 10.588 181114150
3.300 5.352 -37.889 10.436 181114150
3.310 5.358 -35.329 10.070 181114150
3.320 5.304 -9.614 9.846 181114150
3.330 5.243 -37.828 9.608 181114150
3.340 5.171 -17.339 9.333 181114150
3.350 5.142 -26.860 9.112 181114150
3.360 5.098 -23.438 8.860 181114150
3.370 5.081 -21.333 8.636 181114150
3.380 4.976 -12.972 8.465 181114150
3.390 4.956 -37.047 8.215 181114150
3.400 4.858 -27.937 7.890 181114150
3.410 4.819 -26.606 7.617 181114150
3.420 4.829 -48.112 7.243 181114150
3.430 4.789 -18.374 6.911 181114150
3.440 4.744 -25.739 6.690 181114150
3.450 4.755 -37.889 6.372 181114150
3.460 4.735 -46.166 5.952 181114150
3.470 4.711 -1.027 5.716 181114150
3.480 4.694 -8.404 5.669 181114150
3.490 4.745 -6.039 5.597 181114150
3.500 4.752 -23.619 5.448 181114150
3.510 4.737 10.097 5.381 181114150
3.520 4.776 -0.424 5.429 181114150
3.530 4.762 11.443 5.484 181114150
3.540 4.840 8.450 5.584 181114150
3.550 4.889 4.124 5.647 181114150
3.560 4.962 8.200 5.708 181114150
3.570 4.991 30.609 5.902 181114150
3.580 5.030 -10.490 6.003 181114150
3.590 5.104 15.818 6.030 181114150
3.600 5.078 12.547 6.171 181114150
3.610 5.094 12.968 6.299 181114150
3.620 5.216 -16.041 6.284 181114150
3.630 5.218 -23.470 6.086 181114150
3.640 5.199 -3.982 5.949 181114150
3.650 5.222 9.940 5.979 181114150
3.660 5.195 -4.754 6.005 181114150
3.670 5.192 20.216 6.082 181114150
3.680 5.229 -26.415 6.051 181114150
3.690 5.214 -18.413 5.827 181114150
3.700 5.176 3.898 5.754 181114150
3.710 5.165 -12.820 5.709 181114150
3.720 5.185 -25.982 5.515 181114150
3.730 5.102 -28.031 5.245 181114150
3.740 5.057 -17.315 5.019 181114150
3.750 5.045 -13.967 4.862 181114150
3.760 5.024 -34.775 4.619 181114150
3.770 4.961 10.378 4.497 181114150
3.780 4.956 -24.102 4.428 181114150
3.790 4.945 -35.927 4.128 181114150
3.800 4.887 -32.677 3.785 181114150
3.810 4.878 -36.908 3.437 181114150
3.820 4.866 -11.771 3.193 181114150
3.830 4.860 -13.902 3.065 181114150
3.840 4.798 -1.846 2.986 181114150
3.850 4.855 -1.967 2.967 181114150
3.860 4.804 13.590 3.025 181114150
3.870 4.792 -4.066 3.073 181114150
3.880 4.876 -13.915 2.983 181114150
3.890 4.922 -12.250 2.852 181114150
3.900 4.883 -25.766 2.662 181114150
3.910 4.940 -19.355 2.437 181114150
3.920 4.924 -21.841 2.231 181114150
3.930 4.947 -17.870 2.032 181114150
3.940 4.948 -15.109 1.867 181114150
3.950 4.991 -13.106 1.726 181114150
3.960 4.998 -3.159 1.645 181114150
3.970 5.025 0.122 1.630 181114150
3.980 5.042 -4.547 1.607 181114150
3.990 5.074 -2.014 1.575 181114150
4.000 5.034 -8.364 1.523 181114150
4.010 5.092 -17.402 1.394 181114150
4.020 5.098 12.831 1.371 181114150
4.030 5.060 13.613 1.503 181114150
4.040 5.095 -29.949 1.422 181114150
4.050 5.141 -12.565 1.209 181114150
4.060 5.126 -23.886 1.027 181114150
4.070 5.125 -11.387 0.851 181114150
4.080 5.101 -11.093 0.738 181114150
