# Captured 2020-06-21 06:10:07.683769 by unknown user
# Built at revision a5513db (dirty)
time(sec)  pc_setpoint  pressure  net_flow  net_flow
1.510  10.000  9.573  -502.317  -502.317
1.520  10.000  9.402  -525.874  -525.874
1.530  10.000  9.199  -480.522  -480.522
1.540  10.000  9.119  -490.898  -490.898
1.550  10.000  9.122  -460.890  -460.890
1.560  10.000  9.073  -469.006  -469.006
1.570  10.000  9.053  -424.229  -424.229
1.580  10.000  9.087  -442.022  -442.022
1.590  10.000  9.085  -409.497  -409.497
1.600  10.000  9.025  -415.466  -415.466
1.610  10.000  9.501  -440.169  -440.169
1.620  10.000  8.984  -329.013  -329.013
1.630  10.000  9.093  -321.734  -321.734
1.640  10.000  9.487  -294.717  -294.717
1.650  10.000  9.700  -274.245  -274.245
1.660  10.000  9.819  -281.149  -281.149
1.670  10.000  9.832  -285.237  -285.237
1.680  10.000  9.749  -261.336  -261.336
1.690  10.000  9.735  -251.265  -251.265
1.700  10.000  9.796  -243.609  -243.609
1.710  10.000  9.880  -218.599  -218.599
1.720  10.000  10.025  -224.325  -224.325
1.730  10.000  10.022  -221.289  -221.289
1.740  10.000  9.927  -203.863  -203.863
1.750  10.000  9.793  -201.503  -201.503
1.760  10.000  9.911  -198.618  -198.618
1.770  10.000  9.813  -180.160  -180.160
1.780  10.000  9.867  -170.715  -170.715
1.790  10.000  9.926  -168.949  -168.949
1.800  10.000  9.981  -159.074  -159.074
1.810  10.000  9.953  -155.488  -155.488
1.820  10.000  9.853  -138.706  -138.706
1.830  10.000  9.883  -140.207  -140.207
1.840  10.000  9.849  -128.733  -128.733
1.850  10.000  9.969  -120.281  -120.281
1.860  10.000  9.917  -103.294  -103.294
1.870  10.000  9.987  -106.427  -106.427
1.880  10.000  9.935  -96.157  -96.157
1.890  10.000  9.926  -89.885  -89.885
1.900  10.000  9.916  -90.556  -90.556
1.910  10.000  9.869  -70.650  -70.650
1.920  10.000  9.924  -66.853  -66.853
1.930  10.000  9.915  -50.340  -50.340
1.940  10.000  9.929  -55.466  -55.466
1.950  10.000  9.956  -55.336  -55.336
1.960  10.000  9.951  -44.610  -44.610
1.970  10.000  9.986  -42.981  -42.981
1.980  10.000  9.924  -25.014  -25.014
1.990  10.000  9.970  -26.065  -26.065
2.000  10.000  9.923  -20.029  -20.029
2.010  10.000  10.024  -31.198  -31.198
2.020  10.000  9.917  -16.653  -16.653
2.030  10.000  10.002  -22.719  -22.719
2.040  10.000  9.842  -2.955  -2.955
2.050  10.000  9.960  -3.651  -3.651
2.060  10.000  9.906  8.112  8.112
2.070  10.000  9.952  20.942  20.942
2.080  10.000  9.922  12.733  12.733
2.090  10.000  9.957  24.008  24.008
2.100  10.000  10.028  7.452  7.452
2.110  10.000  10.099  21.106  21.106
2.120  10.000  10.015  34.828  34.828
2.130  10.000  10.123  35.420  35.420
2.140  10.000  9.981  38.793  38.793
2.150  10.000  10.051  29.425  29.425
2.160  10.000  10.141  37.275  37.275
2.170  10.000  10.085  38.729  38.729
2.180  10.000  10.053  28.659  28.659
2.190  10.000  10.073  23.461  23.461
2.200  10.000  10.126  28.955  28.955
2.210  10.000  10.183  26.392  26.392
2.220  10.000  10.204  24.071  24.071
2.230  10.000  10.130  25.709  25.709
2.240  10.000  10.110  35.909  35.909
2.250  10.000  10.037  20.459  20.459
2.260  10.000  10.207  18.388  18.388
2.270  10.000  10.233  17.680  17.680
2.280  10.000  10.162  12.268  12.268
2.290  10.000  10.229  7.982  7.982
2.300  10.000  10.172  -7.126  -7.126
2.310  10.000  10.135  -3.885  -3.885
2.320  10.000  10.160  2.802  2.802
2.330  10.000  10.066  12.872  12.872
2.340  10.000  10.170  1.881  1.881
2.350  10.000  10.160  17.658  17.658
2.360  10.000  10.127  -6.993  -6.993
2.370  10.000  10.066  -2.336  -2.336
2.380  10.000  10.043  -12.665  -12.665
2.390  10.000  10.037  -23.692  -23.692
2.400  10.000  10.060  -29.156  -29.156
2.410  10.000  10.040  -21.181  -21.181
2.420  10.000  9.990  -9.314  -9.314
2.430  10.000  9.970  -32.347  -32.347
2.440  10.000  10.058  -20.630  -20.630
2.450  10.000  10.026  -20.622  -20.622
2.460  10.000  10.020  -23.734  -23.734
2.470  10.000  9.900  -17.294  -17.294
2.480  10.000  9.898  -15.253  -15.253
2.490  10.000  9.916  -9.404  -9.404
2.500  10.000  9.876  -18.499  -18.499
2.510  10.000  10.013  -15.757  -15.757
2.520  10.000  9.913  -8.370  -8.370
2.530  10.000  9.983  -27.079  -27.079
2.540  10.000  9.781  0.724  0.724
2.550  10.000  9.915  -16.170  -16.170
2.560  10.000  9.958  -9.697  -9.697
2.570  10.000  10.019  -9.139  -9.139
2.580  10.000  9.935  -4.950  -4.950
2.590  10.000  9.905  1.490  1.490
2.600  10.000  9.886  -0.496  -0.496
2.610  10.000  10.059  -12.571  -12.571
2.620  10.000  10.009  -0.696  -0.696
2.630  10.000  9.955  6.019  6.019
2.640  10.000  9.792  25.677  25.677
2.650  10.000  9.977  1.337  1.337
2.660  10.000  10.020  24.875  24.875
2.670  10.000  9.918  25.737  25.737
2.680  10.000  9.923  26.483  26.483
2.690  10.000  9.991  13.053  13.053
2.700  10.000  10.090  19.932  19.932
2.710  10.000  10.109  16.757  16.757
2.720  10.000  9.993  11.656  11.656
2.730  10.000  10.073  29.863  29.863
2.740  10.000  9.993  39.796  39.796
2.750  10.000  10.127  26.644  26.644
2.760  10.000  10.086  31.096  31.096
2.770  10.000  10.168  26.462  26.462
2.780  10.000  10.046  27.580  27.580
2.790  10.000  10.018  41.475  41.475
2.800  10.000  10.046  26.198  26.198
2.810  10.000  10.115  26.261  26.261
2.820  10.000  10.125  22.207  22.207
2.830  10.000  10.059  23.310  23.310
2.840  10.000  10.103  31.101  31.101
2.850  10.000  10.131  13.346  13.346
2.860  10.000  10.141  13.551  13.551
2.870  10.000  10.151  -5.892  -5.892
2.880  10.000  10.112  30.885  30.885
2.890  10.000  10.122  11.911  11.911
2.900  10.000  10.099  18.607  18.607
2.910  10.000  10.249  -13.303  -13.303
2.920  10.000  10.021  19.426  19.426
2.930  10.000  10.319  -16.561  -16.561
2.940  10.000  9.962  6.064  6.064
2.950  10.000  10.131  0.327  0.327
2.960  10.000  10.131  -2.261  -2.261
2.970  10.000  9.949  -8.164  -8.164
2.980  10.000  10.156  -5.160  -5.160
2.990  10.000  10.091  -1.381  -1.381
3.000  10.000  10.068  -5.850  -5.850
3.010  10.000  10.033  -4.423  -4.423
3.020  10.000  10.031  -7.791  -7.791
3.030  10.000  9.970  -9.800  -9.800
3.040  10.000  10.041  -10.168  -10.168
3.050  10.000  9.981  -10.475  -10.475
3.060  10.000  10.078  -10.600  -10.600
3.070  10.000  9.966  -19.196  -19.196
3.080  10.000  9.973  -16.655  -16.655
3.090  10.000  9.901  -16.868  -16.868
3.100  10.000  10.029  -13.150  -13.150
3.110  10.000  9.962  -7.171  -7.171
3.120  10.000  10.012  -23.392  -23.392
3.130  10.000  10.061  -17.302  -17.302
3.140  10.000  10.025  -7.705  -7.705
3.150  10.000  10.008  -19.728  -19.728
3.160  10.000  9.865  11.378  11.378
3.170  10.000  9.936  -11.737  -11.737
3.180  10.000  9.942  -19.551  -19.551
3.190  10.000  9.954  -7.418  -7.418
3.200  10.000  9.997  -14.894  -14.894
3.210  10.000  10.000  -12.117  -12.117
3.220  10.000  9.936  -3.371  -3.371
3.230  10.000  9.940  -10.824  -10.824
3.240  10.000  9.934  -14.686  -14.686
3.250  10.000  9.879  -4.147  -4.147
3.260  10.000  9.976  -24.802  -24.802
3.270  10.000  9.899  -1.176  -1.176
3.280  10.000  9.856  -4.731  -4.731
3.290  10.000  9.849  15.265  15.265
3.300  10.000  9.866  -4.343  -4.343
3.310  10.000  10.047  2.616  2.616
3.320  10.000  9.992  22.431  22.431
3.330  10.000  9.901  5.847  5.847
3.340  10.000  9.908  23.413  23.413
3.350  10.000  9.975  11.158  11.158
3.360  10.000  10.020  9.260  9.260
3.370  10.000  10.101  4.424  4.424
3.380  10.000  10.032  33.324  33.324
3.390  10.000  10.037  31.676  31.676
3.400  10.000  10.002  20.587  20.587
3.410  10.000  10.097  27.941  27.941
3.420  10.000  10.021  32.251  32.251
3.430  10.000  10.045  25.566  25.566
3.440  10.000  10.052  30.957  30.957
3.450  10.000  10.118  20.962  20.962
3.460  10.000  10.138  22.027  22.027
3.470  10.000  10.023  21.393  21.393
3.480  10.000  10.007  18.536  18.536
3.490  10.000  10.098  14.147  14.147
3.500  10.000  10.052  32.028  32.028
3.510  10.000  10.108  18.774  18.774
3.520  10.000  10.140  17.147  17.147
3.530  10.000  10.226  10.687  10.687
3.540  10.000  10.191  16.207  16.207
3.550  10.000  10.157  18.303  18.303
3.560  10.000  10.055  20.758  20.758
3.570  10.000  9.987  25.408  25.408
3.580  10.000  10.134  -8.453  -8.453
3.590  10.000  10.043  19.633  19.633
