# covent_pc_6
# Captured 2020-07-03 20:44:02.158723 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 10.000 0.950 2.230 1.966 0.537 0.332 0.000
0.010 10.000 0.960 2.229 1.787 0.541 0.330 0.000
0.020 10.000 1.009 2.145 2.180 0.533 0.334 0.000
0.030 10.000 0.997 2.226 2.111 0.531 0.336 0.000
0.040 10.000 0.993 2.108 2.207 0.528 0.337 0.000
0.050 10.000 0.955 2.368 1.962 0.535 0.333 0.000
0.060 10.000 0.999 2.393 2.026 0.530 0.336 0.000
0.070 10.000 0.976 2.279 1.795 0.531 0.335 0.000
0.080 10.000 0.983 2.059 1.884 0.531 0.336 0.000
0.090 10.000 0.962 2.255 1.695 0.535 0.333 0.000
0.100 10.000 0.988 2.315 1.852 0.533 0.334 0.000
0.110 10.000 0.985 2.100 1.906 0.532 0.335 0.000
0.120 10.000 0.992 2.192 2.029 0.530 0.336 0.000
0.130 10.000 0.964 2.170 1.883 0.534 0.334 0.000
0.140 10.000 0.998 2.225 2.035 0.529 0.336 0.000
0.150 10.000 0.957 1.992 1.807 0.536 0.333 0.000
0.160 10.000 0.977 1.992 1.888 0.536 0.333 0.000
0.170 10.000 0.993 2.190 2.057 0.532 0.335 0.000
0.180 10.000 0.995 2.125 2.042 0.529 0.336 0.000
0.190 10.000 0.994 2.090 1.985 0.527 0.338 0.000
0.200 10.000 0.988 2.105 2.136 0.526 0.338 0.000
0.210 10.000 0.956 2.078 2.110 0.532 0.335 0.000
0.220 10.000 0.975 2.065 2.094 0.532 0.335 0.000
0.230 10.000 0.998 2.382 2.228 0.528 0.337 0.000
0.240 10.000 0.993 2.079 1.999 0.525 0.339 0.000
0.250 10.000 0.973 2.062 2.094 0.528 0.337 0.000
0.260 10.000 0.955 1.958 2.059 0.534 0.334 0.000
0.270 10.000 0.956 2.081 1.762 0.538 0.331 0.000
0.280 10.000 0.994 2.127 2.011 0.534 0.334 0.000
0.290 10.000 0.998 1.950 2.282 0.531 0.336 0.000
0.300 10.000 0.997 2.184 2.316 0.528 0.337 0.000
0.310 10.000 0.956 2.030 2.028 0.534 0.334 0.000
0.320 10.000 0.967 2.297 2.085 0.536 0.332 0.000
0.330 10.000 1.016 2.385 2.107 0.527 0.337 0.000
0.340 10.000 0.994 2.224 1.938 0.526 0.338 0.000
0.350 10.000 0.960 2.063 1.957 0.531 0.335 0.000
0.360 10.000 0.961 2.293 1.890 0.535 0.333 0.000
0.370 10.000 0.995 2.024 2.004 0.531 0.336 0.000
0.380 10.000 1.015 2.008 2.235 0.523 0.340 0.000
0.390 10.000 0.992 1.906 2.126 0.522 0.341 0.000
0.400 10.000 0.965 2.033 2.133 0.526 0.338 0.000
0.410 10.000 0.971 2.026 2.045 0.527 0.338 0.000
0.420 10.000 0.981 2.178 1.942 0.527 0.338 0.000
0.430 10.000 0.995 2.063 2.055 0.523 0.340 0.000
0.440 10.000 1.002 1.943 2.177 0.519 0.342 0.000
0.450 10.000 0.967 2.128 1.996 0.523 0.340 0.000
0.460 10.000 0.953 1.860 1.879 0.529 0.336 0.000
0.470 10.000 0.982 2.059 1.994 0.528 0.337 0.000
0.480 10.000 0.986 2.015 1.991 0.527 0.338 0.000
0.490 10.000 0.982 1.944 2.060 0.527 0.338 0.000
0.500 10.000 0.962 1.776 1.966 0.531 0.335 0.000
0.510 10.000 0.957 2.058 2.077 0.536 0.333 0.000
0.520 10.000 0.996 2.245 2.109 0.531 0.335 0.000
0.530 10.000 1.001 2.268 2.204 0.527 0.338 0.000
0.540 10.000 0.980 2.158 2.007 0.528 0.337 0.000
0.550 10.000 0.952 2.107 1.845 0.535 0.333 0.000
0.560 10.000 0.964 2.023 1.934 0.538 0.332 0.000
0.570 10.000 1.009 2.108 2.196 0.530 0.336 0.000
0.580 10.000 1.019 2.196 2.317 0.522 0.340 0.000
0.590 10.000 0.954 1.985 2.009 0.530 0.336 0.000
0.600 10.000 0.939 1.968 1.916 0.539 0.331 0.000
0.610 10.000 0.992 2.173 2.019 0.535 0.333 0.000
0.620 10.000 1.028 2.354 2.341 0.524 0.339 0.000
0.630 10.000 1.007 2.238 2.034 0.519 0.342 0.000
0.640 10.000 0.936 1.876 1.810 0.531 0.335 0.000
0.650 10.000 0.963 1.978 1.831 0.534 0.334 0.000
0.660 10.000 0.961 2.249 1.741 0.538 0.332 0.000
0.670 10.000 1.029 2.112 2.091 0.525 0.339 0.000
0.680 10.000 1.012 2.090 2.104 0.520 0.342 0.000
0.690 10.000 0.985 1.953 2.088 0.520 0.341 0.000
0.700 10.000 0.949 2.035 2.116 0.528 0.337 0.000
0.710 10.000 0.981 2.112 2.011 0.527 0.338 0.000
0.720 10.000 0.961 2.033 1.945 0.531 0.335 0.000
0.730 10.000 0.999 2.095 2.044 0.526 0.338 0.000
0.740 10.000 0.970 1.979 1.907 0.529 0.336 0.000
0.750 10.000 0.998 1.983 2.177 0.525 0.339 0.000
0.760 10.000 0.962 1.941 2.045 0.530 0.336 0.000
0.770 10.000 0.972 1.734 2.206 0.531 0.335 0.000
0.780 10.000 0.979 2.159 2.089 0.531 0.335 0.000
0.790 10.000 1.005 2.027 2.297 0.526 0.338 0.000
0.800 10.000 0.985 2.201 2.109 0.525 0.339 0.000
0.810 10.000 0.953 2.059 1.944 0.532 0.335 0.000
0.820 10.000 0.981 2.282 2.086 0.531 0.336 0.000
0.830 10.000 0.987 2.242 2.202 0.529 0.336 0.000
0.840 10.000 0.987 2.157 1.980 0.528 0.337 0.000
0.850 10.000 0.949 2.092 1.876 0.536 0.333 0.000
0.860 10.000 0.986 2.150 2.139 0.534 0.334 0.000
0.870 10.000 0.981 2.215 2.101 0.534 0.334 0.000
0.880 10.000 0.986 2.093 2.123 0.532 0.335 0.000
0.890 10.000 0.950 2.156 1.901 0.540 0.330 0.000
0.900 10.000 0.978 2.233 2.043 0.540 0.331 0.000
0.910 10.000 0.988 2.285 2.003 0.538 0.332 0.000
0.920 10.000 0.992 2.396 1.903 0.535 0.333 0.000
0.930 10.000 0.973 2.065 1.959 0.538 0.332 0.000
0.940 10.000 1.001 2.472 2.119 0.532 0.335 0.000
0.950 10.000 0.980 2.175 1.853 0.534 0.334 0.000
0.960 10.000 0.985 2.301 1.982 0.532 0.335 0.000
0.970 10.000 0.970 2.285 1.833 0.535 0.333 0.000
0.980 10.000 0.987 2.157 1.822 0.533 0.334 0.000
0.990 10.000 1.006 2.293 2.036 0.527 0.337 0.000
1.000 10.000 0.981 2.243 1.919 0.528 0.337 0.000
1.010 10.000 0.987 2.076 2.048 0.527 0.338 0.000
1.020 10.000 0.963 2.206 1.982 0.531 0.335 0.000
1.030 10.000 0.973 2.011 1.914 0.532 0.335 0.000
1.040 10.000 0.998 1.940 2.151 0.528 0.337 0.000
1.050 10.000 0.998 2.017 2.368 0.524 0.339 0.000
1.060 10.000 0.996 2.133 2.119 0.521 0.341 0.000
1.070 10.000 0.939 2.162 1.706 0.532 0.335 0.000
1.080 10.000 0.941 2.000 1.682 0.540 0.331 0.000
1.090 10.000 0.977 2.204 1.827 0.539 0.331 0.000
1.100 10.000 1.031 2.117 2.287 0.527 0.338 0.000
1.110 10.000 1.019 2.347 2.141 0.520 0.342 0.000
1.120 12.500 0.959 2.068 1.900 0.585 0.306 0.000
1.130 15.000 0.954 2.540 1.495 0.699 0.243 0.000
1.140 17.501 1.210 3.981 2.178 0.800 0.188 0.000
1.150 20.000 1.444 6.147 2.086 0.904 0.131 0.000
1.160 22.500 1.732 8.467 1.971 0.997 0.079 0.000
1.170 25.000 1.982 10.222 1.564 1.000 0.050 0.000
1.180 27.500 2.401 11.888 1.217 1.000 0.050 0.000
1.190 30.000 2.693 11.914 1.259 1.000 0.050 0.000
1.200 32.500 3.022 14.109 1.476 1.000 0.050 0.000
1.210 35.000 3.231 13.047 1.266 1.000 0.050 0.000
1.220 35.000 3.416 12.236 1.218 1.000 0.050 0.000
1.230 35.000 3.556 11.466 1.394 1.000 0.066 0.000
1.240 35.000 3.519 10.177 1.288 1.000 0.075 0.000
1.250 35.000 3.571 10.378 1.998 0.975 0.091 0.000
1.260 35.000 3.426 11.073 2.031 0.982 0.087 0.000
1.270 35.000 3.508 11.501 2.387 0.963 0.098 0.000
1.280 35.000 3.352 10.933 2.019 0.986 0.085 0.000
1.290 35.000 3.447 11.950 2.284 0.979 0.089 0.000
1.300 35.000 3.387 10.692 2.310 0.991 0.083 0.000
1.310 35.000 3.469 10.818 2.407 0.980 0.088 0.000
1.320 35.000 3.450 10.777 2.637 0.977 0.090 0.000
1.330 35.000 3.408 10.437 2.254 0.984 0.086 0.000
1.340 35.000 3.474 10.140 2.538 0.973 0.092 0.000
1.350 35.000 3.473 10.407 2.592 0.965 0.097 0.000
1.360 35.000 3.469 10.300 2.728 0.958 0.101 0.000
1.370 35.000 3.485 10.958 2.912 0.946 0.107 0.000
1.380 35.000 3.409 10.913 2.706 0.954 0.103 0.000
1.390 35.000 3.368 10.909 2.313 0.968 0.095 0.000
1.400 35.000 3.419 10.507 2.741 0.969 0.095 0.000
1.410 35.000 3.451 10.901 2.628 0.964 0.097 0.000
1.420 35.000 3.420 10.912 2.377 0.968 0.095 0.000
1.430 35.000 3.473 10.409 2.625 0.958 0.101 0.000
1.440 35.000 3.432 9.842 2.642 0.959 0.100 0.000
1.450 35.000 3.465 10.716 2.914 0.951 0.104 0.000
1.460 35.000 3.457 10.107 2.754 0.947 0.107 0.000
1.470 35.000 3.500 10.090 3.027 0.931 0.115 0.000
1.480 35.000 3.381 10.526 2.704 0.946 0.107 0.000
1.490 35.000 3.451 9.644 2.977 0.940 0.111 0.000
1.500 35.000 3.463 10.447 3.036 0.933 0.114 0.000
1.510 35.000 3.410 9.997 2.956 0.940 0.111 0.000
1.520 35.000 3.397 10.729 2.582 0.947 0.106 0.000
1.530 35.000 3.441 9.998 2.872 0.944 0.108 0.000
1.540 35.000 3.397 10.543 2.654 0.953 0.103 0.000
1.550 35.000 3.421 9.572 2.684 0.954 0.103 0.000
1.560 35.000 3.457 9.948 2.840 0.948 0.106 0.000
1.570 35.000 3.457 9.749 2.718 0.943 0.109 0.000
1.580 35.000 3.515 10.344 3.191 0.924 0.119 0.000
1.590 35.000 3.485 9.955 3.127 0.915 0.124 0.000
1.600 35.000 3.476 9.463 3.099 0.906 0.129 0.000
1.610 35.000 3.485 9.227 3.270 0.895 0.135 0.000
1.620 35.000 3.453 9.197 3.350 0.892 0.137 0.000
1.630 35.000 3.449 9.458 3.087 0.889 0.138 0.000
1.640 35.000 3.409 9.320 2.843 0.895 0.135 0.000
1.650 35.000 3.374 8.599 2.520 0.908 0.128 0.000
1.660 35.000 3.333 8.049 2.780 0.930 0.116 0.000
1.670 35.000 3.363 8.742 3.080 0.943 0.109 0.000
1.680 35.000 3.384 9.828 2.744 0.951 0.104 0.000
1.690 35.000 3.371 9.093 2.585 0.964 0.097 0.000
1.700 35.000 3.453 9.326 2.818 0.957 0.101 0.000
1.710 35.000 3.474 10.226 2.674 0.948 0.106 0.000
1.720 35.000 3.525 9.405 2.840 0.927 0.118 0.000
1.730 35.000 3.537 9.962 2.934 0.906 0.129 0.000
1.740 35.000 3.560 9.596 2.820 0.879 0.144 0.000
1.750 35.000 3.587 9.175 3.239 0.847 0.162 0.000
1.760 35.000 3.572 9.085 3.157 0.820 0.177 0.000
1.770 35.000 3.484 9.032 3.098 0.813 0.180 0.000
1.780 35.000 3.437 8.968 2.823 0.814 0.180 0.000
1.790 35.000 3.394 7.952 3.006 0.823 0.175 0.000
1.800 35.000 3.384 7.980 3.256 0.833 0.169 0.000
1.810 35.000 3.370 7.346 3.224 0.846 0.162 0.000
1.820 35.000 3.294 6.861 3.016 0.877 0.145 0.000
1.830 35.000 3.226 7.325 2.477 0.921 0.121 0.000
1.840 35.000 3.347 8.005 3.094 0.933 0.114 0.000
1.850 35.000 3.357 8.677 2.794 0.948 0.106 0.000
1.860 35.000 3.486 9.066 3.030 0.932 0.115 0.000
1.870 35.000 3.587 9.608 3.052 0.897 0.134 0.000
1.880 35.000 3.498 8.859 2.652 0.887 0.140 0.000
1.890 35.000 3.598 8.484 3.426 0.850 0.160 0.000
1.900 35.000 3.572 7.778 2.991 0.823 0.175 0.000
1.910 35.000 3.485 8.263 3.125 0.816 0.179 0.000
1.920 35.000 3.450 7.264 3.202 0.814 0.180 0.000
1.930 35.000 3.364 6.570 3.020 0.831 0.170 0.000
1.940 35.000 3.298 5.878 3.183 0.861 0.154 0.000
1.950 35.000 3.344 6.819 3.313 0.876 0.146 0.000
1.960 35.000 3.335 7.247 3.103 0.896 0.135 0.000
1.970 35.000 3.376 7.722 2.817 0.906 0.129 0.000
1.980 35.000 3.468 8.256 2.998 0.895 0.135 0.000
1.990 35.000 3.509 8.173 3.239 0.878 0.145 0.000
2.000 35.000 3.490 7.671 2.924 0.867 0.150 0.000
2.010 35.000 3.540 7.347 3.242 0.844 0.163 0.000
2.020 35.000 3.503 7.442 3.236 0.831 0.170 0.000
2.030 35.000 3.371 6.938 2.837 0.849 0.161 0.000
2.040 35.000 3.368 6.652 2.611 0.862 0.154 0.000
2.050 35.000 3.416 6.606 3.156 0.863 0.153 0.000
2.060 35.000 3.518 7.236 3.442 0.842 0.164 0.000
2.070 35.000 3.453 7.514 2.980 0.840 0.165 0.000
2.080 35.000 3.444 6.533 2.985 0.838 0.166 0.000
2.090 35.000 3.415 6.303 3.123 0.843 0.164 0.000
2.100 35.000 3.459 6.825 3.344 0.836 0.168 0.000
2.110 35.000 3.385 6.956 2.967 0.848 0.161 0.000
2.120 10.000 3.433 6.528 2.986 0.258 0.486 0.000
2.130 10.000 3.418 6.827 3.929 0.050 0.600 0.000
2.140 10.000 3.150 6.210 5.547 0.050 0.600 0.000
2.150 10.000 2.644 3.289 8.560 0.050 0.600 0.000
2.160 10.000 1.959 -0.318 8.139 0.050 0.600 0.000
2.170 10.000 1.760 0.326 7.033 0.050 0.600 0.000
2.180 10.000 1.314 -0.198 5.352 0.050 0.600 0.000
2.190 10.000 1.187 0.188 4.756 0.050 0.600 0.000
2.200 10.000 1.039 0.001 4.007 0.050 0.600 0.000
2.210 10.000 0.981 0.063 3.859 0.050 0.600 0.000
2.220 10.000 0.921 0.023 3.561 0.064 0.592 0.000
2.230 10.000 0.890 -0.007 3.501 0.084 0.581 0.000
2.240 10.000 0.884 0.058 3.387 0.103 0.571 0.000
2.250 10.000 0.871 0.055 3.261 0.126 0.558 0.000
2.260 10.000 0.879 0.094 3.190 0.146 0.547 0.000
2.270 10.000 0.889 0.014 3.138 0.164 0.538 0.000
2.280 10.000 0.897 0.027 3.029 0.180 0.528 0.000
2.290 10.000 0.901 0.037 2.963 0.196 0.520 0.000
2.300 10.000 0.916 0.046 2.941 0.208 0.513 0.000
2.310 10.000 0.930 0.090 2.890 0.218 0.508 0.000
2.320 10.000 0.941 0.098 3.012 0.225 0.504 0.000
2.330 10.000 0.952 0.153 2.918 0.230 0.501 0.000
2.340 10.000 0.953 0.082 3.073 0.236 0.498 0.000
2.350 10.000 0.961 0.216 2.960 0.239 0.496 0.000
2.360 10.000 0.960 0.085 3.072 0.243 0.494 0.000
2.370 10.000 0.974 0.182 3.033 0.244 0.493 0.000
2.380 10.000 0.977 0.182 3.016 0.245 0.493 0.000
2.390 10.000 0.963 0.098 2.934 0.249 0.491 0.000
2.400 10.000 0.956 0.103 2.976 0.254 0.488 0.000
2.410 10.000 0.961 0.179 3.064 0.258 0.486 0.000
2.420 10.000 0.941 0.121 2.988 0.267 0.481 0.000
2.430 10.000 0.933 0.092 2.934 0.276 0.475 0.000
2.440 10.000 0.926 0.150 2.922 0.288 0.469 0.000
2.450 10.000 0.938 0.133 2.944 0.296 0.465 0.000
2.460 10.000 0.921 0.239 2.700 0.308 0.458 0.000
2.470 10.000 0.926 0.172 2.659 0.319 0.452 0.000
2.480 10.000 0.953 0.280 2.684 0.323 0.450 0.000
2.490 10.000 0.984 0.341 2.768 0.321 0.451 0.000
2.500 10.000 1.013 0.324 2.862 0.314 0.455 0.000
2.510 10.000 1.024 0.366 3.014 0.305 0.460 0.000
2.520 10.000 0.990 0.303 2.813 0.304 0.460 0.000
2.530 10.000 0.976 0.152 2.723 0.306 0.459 0.000
2.540 10.000 0.950 0.125 2.675 0.313 0.455 0.000
2.550 10.000 0.947 0.281 2.718 0.320 0.452 0.000
2.560 10.000 0.953 0.062 2.696 0.325 0.449 0.000
2.570 10.000 0.954 0.327 2.654 0.330 0.446 0.000
2.580 10.000 0.979 0.330 2.729 0.330 0.446 0.000
2.590 10.000 1.001 0.339 2.856 0.325 0.449 0.000
2.600 10.000 1.020 0.314 2.956 0.316 0.454 0.000
2.610 10.000 0.974 0.234 2.840 0.319 0.452 0.000
2.620 10.000 0.960 0.327 2.697 0.324 0.449 0.000
2.630 10.000 0.964 0.287 2.731 0.327 0.448 0.000
2.640 10.000 0.950 0.338 2.623 0.334 0.444 0.000
2.650 10.000 0.961 0.357 2.754 0.337 0.442 0.000
2.660 10.000 0.978 0.526 2.689 0.337 0.442 0.000
2.670 10.000 0.985 0.324 2.712 0.336 0.443 0.000
2.680 10.000 0.978 0.381 2.725 0.337 0.442 0.000
2.690 10.000 0.979 0.429 2.586 0.337 0.442 0.000
2.700 10.000 0.971 0.276 2.648 0.339 0.441 0.000
2.710 10.000 0.983 0.524 2.773 0.338 0.441 0.000
2.720 10.000 0.968 0.353 2.616 0.341 0.440 0.000
2.730 10.000 0.964 0.632 2.569 0.345 0.438 0.000
2.740 10.000 0.956 0.264 2.475 0.350 0.435 0.000
2.750 10.000 0.970 0.499 2.655 0.352 0.434 0.000
2.760 10.000 0.987 0.536 2.590 0.350 0.435 0.000
2.770 10.000 0.983 0.473 2.772 0.349 0.435 0.000
2.780 10.000 1.000 0.598 2.754 0.345 0.438 0.000
2.790 10.000 0.974 0.415 2.505 0.347 0.437 0.000
2.800 10.000 0.968 0.532 2.539 0.350 0.435 0.000
2.810 10.000 0.957 0.514 2.496 0.355 0.432 0.000
2.820 10.000 0.960 0.678 2.521 0.359 0.430 0.000
2.830 10.000 0.964 0.392 2.473 0.362 0.428 0.000
2.840 10.000 0.981 0.692 2.523 0.361 0.429 0.000
2.850 10.000 0.970 0.640 2.471 0.364 0.427 0.000
2.860 10.000 0.968 0.589 2.424 0.367 0.426 0.000
2.870 10.000 0.984 0.695 2.691 0.365 0.427 0.000
2.880 10.000 0.971 0.593 2.499 0.368 0.425 0.000
2.890 10.000 0.980 0.744 2.475 0.368 0.425 0.000
2.900 10.000 0.963 0.678 2.399 0.372 0.423 0.000
2.910 10.000 0.975 0.543 2.520 0.372 0.423 0.000
2.920 10.000 0.950 0.664 2.370 0.380 0.419 0.000
2.930 10.000 0.964 0.598 2.355 0.382 0.417 0.000
2.940 10.000 0.962 0.541 2.276 0.386 0.415 0.000
2.950 10.000 0.967 0.573 2.296 0.389 0.414 0.000
2.960 10.000 0.952 0.605 2.160 0.395 0.410 0.000
2.970 10.000 0.940 0.706 2.077 0.404 0.405 0.000
2.980 10.000 0.964 0.650 2.124 0.406 0.404 0.000
2.990 10.000 0.948 0.569 2.259 0.413 0.400 0.000
3.000 10.000 0.934 0.646 2.280 0.423 0.395 0.000
3.010 10.000 0.960 0.842 2.259 0.426 0.393 0.000
3.020 10.000 0.965 0.885 2.375 0.429 0.391 0.000
