# covent_pc_1
# Captured 2020-07-03 20:38:13.786288 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.960 5.000 0.423 0.033 1.531 0.109 0.568 0.000
0.970 5.000 0.421 0.031 1.522 0.116 0.564 0.000
0.980 5.000 0.419 0.025 1.508 0.123 0.560 0.000
0.990 5.000 0.417 0.034 1.465 0.130 0.556 0.000
1.000 5.000 0.413 0.062 1.454 0.138 0.551 0.000
1.010 5.000 0.410 0.015 1.368 0.146 0.547 0.000
1.020 5.000 0.412 0.043 1.384 0.154 0.543 0.000
1.030 5.000 0.404 -0.000 1.423 0.163 0.538 0.000
1.040 5.000 0.402 0.105 1.310 0.172 0.533 0.000
1.050 5.000 0.398 -0.020 1.287 0.181 0.528 0.000
1.060 5.000 0.403 0.120 1.324 0.190 0.523 0.000
1.070 5.000 0.400 0.064 1.262 0.199 0.518 0.000
1.080 5.000 0.391 0.104 1.167 0.209 0.512 0.000
1.090 5.000 0.392 0.087 1.173 0.219 0.507 0.000
1.100 5.000 0.386 0.092 1.213 0.230 0.501 0.000
1.110 5.000 0.382 0.147 1.227 0.241 0.495 0.000
1.120 5.000 0.381 0.157 1.087 0.252 0.489 0.000
1.130 5.000 0.387 0.052 1.187 0.262 0.483 0.000
1.140 5.000 0.380 0.118 1.201 0.273 0.477 0.000
1.150 5.000 0.380 0.087 1.192 0.284 0.471 0.000
1.160 5.000 0.378 0.213 1.123 0.295 0.465 0.000
1.170 5.000 0.377 0.058 1.130 0.307 0.459 0.000
1.180 5.000 0.379 0.342 1.016 0.318 0.453 0.000
1.190 5.000 0.394 0.114 1.126 0.327 0.448 0.000
1.200 5.000 0.393 0.376 1.078 0.337 0.442 0.000
1.210 5.000 0.410 0.406 1.021 0.344 0.438 0.000
1.220 5.000 0.423 0.529 1.025 0.350 0.435 0.000
1.230 5.000 0.415 0.499 1.054 0.358 0.430 0.000
1.240 5.000 0.406 0.647 0.974 0.367 0.426 0.000
1.250 5.000 0.412 0.715 1.149 0.375 0.421 0.000
1.260 5.000 0.403 0.687 0.895 0.384 0.416 0.000
1.270 5.000 0.415 0.603 1.144 0.391 0.413 0.000
1.280 5.000 0.399 0.809 1.009 0.400 0.407 0.000
1.290 5.000 0.395 0.727 0.829 0.410 0.402 0.000
1.300 5.000 0.395 0.694 0.812 0.420 0.397 0.000
1.310 5.000 0.388 0.856 0.816 0.430 0.391 0.000
1.320 5.000 0.426 0.816 0.995 0.435 0.388 0.000
1.330 5.000 0.434 1.021 1.085 0.440 0.385 0.000
1.340 5.000 0.429 1.210 1.010 0.447 0.382 0.000
1.350 5.000 0.438 1.406 1.034 0.452 0.379 0.000
1.360 5.000 0.425 1.494 0.993 0.459 0.375 0.000
1.370 5.000 0.417 1.633 0.937 0.466 0.371 0.000
1.380 5.000 0.433 1.682 0.928 0.471 0.368 0.000
1.390 5.000 0.444 1.763 1.095 0.476 0.366 0.000
1.400 5.000 0.441 2.026 1.060 0.481 0.363 0.000
1.410 5.000 0.422 2.246 0.754 0.488 0.359 0.000
1.420 5.000 0.434 2.172 0.640 0.493 0.356 0.000
1.430 5.000 0.441 2.090 1.021 0.498 0.354 0.000
1.440 5.000 0.460 2.305 1.121 0.500 0.352 0.000
1.450 5.000 0.431 2.040 0.648 0.507 0.348 0.000
1.460 5.000 0.472 1.905 1.217 0.508 0.348 0.000
1.470 5.000 0.463 2.156 1.184 0.511 0.347 0.000
1.480 5.000 0.463 2.090 1.114 0.513 0.345 0.000
1.490 5.000 0.467 1.962 1.123 0.516 0.344 0.000
1.500 5.000 0.475 2.191 1.294 0.517 0.343 0.000
1.510 5.000 0.466 2.169 1.058 0.520 0.342 0.000
1.520 5.000 0.450 2.223 0.609 0.524 0.339 0.000
1.530 5.000 0.484 2.174 0.954 0.523 0.340 0.000
1.540 5.000 0.494 2.276 1.007 0.523 0.340 0.000
1.550 5.000 0.473 2.184 0.965 0.525 0.339 0.000
1.560 5.000 0.475 2.116 1.041 0.527 0.338 0.000
1.570 5.000 0.489 2.210 0.791 0.526 0.338 0.000
1.580 5.000 0.479 2.138 1.039 0.528 0.337 0.000
1.590 5.000 0.492 2.030 1.092 0.527 0.338 0.000
1.600 5.000 0.500 2.072 1.231 0.526 0.338 0.000
1.610 5.000 0.499 2.309 1.141 0.525 0.339 0.000
1.620 5.000 0.489 2.192 0.900 0.526 0.338 0.000
1.630 5.000 0.496 2.159 1.074 0.525 0.339 0.000
1.640 5.000 0.508 2.164 1.140 0.523 0.340 0.000
1.650 5.000 0.516 2.107 1.034 0.520 0.342 0.000
1.660 5.000 0.530 2.105 1.295 0.515 0.344 0.000
1.670 5.000 0.509 2.207 1.153 0.514 0.345 0.000
1.680 5.000 0.499 2.168 0.856 0.514 0.345 0.000
1.690 5.000 0.511 2.070 1.045 0.511 0.346 0.000
1.700 5.000 0.531 2.058 1.331 0.506 0.349 0.000
1.710 5.000 0.533 2.239 1.128 0.502 0.351 0.000
1.720 5.000 0.527 2.048 1.009 0.498 0.353 0.000
1.730 5.000 0.530 2.171 1.040 0.494 0.356 0.000
1.740 5.000 0.538 1.938 1.263 0.489 0.358 0.000
1.750 5.000 0.539 2.121 1.358 0.484 0.361 0.000
1.760 5.000 0.541 1.973 1.291 0.479 0.364 0.000
1.770 5.000 0.537 1.999 1.266 0.475 0.366 0.000
1.780 5.000 0.534 1.980 1.307 0.470 0.369 0.000
1.790 5.000 0.530 1.921 1.198 0.467 0.371 0.000
1.800 5.000 0.525 1.869 0.946 0.463 0.373 0.000
1.810 5.000 0.523 1.766 1.080 0.460 0.374 0.000
1.820 5.000 0.523 1.607 1.144 0.457 0.376 0.000
1.830 5.000 0.533 1.681 1.124 0.452 0.379 0.000
1.840 5.000 0.526 1.547 1.171 0.449 0.381 0.000
1.850 5.000 0.524 1.466 1.097 0.446 0.382 0.000
1.860 5.000 0.532 1.335 1.170 0.441 0.385 0.000
1.870 5.000 0.520 1.315 1.186 0.439 0.386 0.000
1.880 5.000 0.524 1.032 1.033 0.435 0.388 0.000
1.890 5.000 0.544 1.275 1.230 0.429 0.392 0.000
1.900 5.000 0.533 0.996 1.152 0.425 0.394 0.000
1.910 6.000 0.522 0.966 1.150 0.436 0.388 0.000
1.920 7.000 0.521 1.077 0.975 0.457 0.376 0.000
1.930 8.000 0.546 1.301 1.210 0.484 0.362 0.000
1.940 9.000 0.575 1.739 1.363 0.517 0.343 0.000
1.950 10.000 0.639 2.162 1.343 0.553 0.324 0.000
1.960 11.000 0.596 2.631 0.964 0.607 0.294 0.000
1.970 12.000 0.638 3.475 0.982 0.663 0.263 0.000
1.980 13.000 0.722 4.428 1.060 0.719 0.232 0.000
1.990 14.000 0.848 6.572 1.658 0.770 0.204 0.000
2.000 15.000 0.853 8.886 1.099 0.835 0.168 0.000
2.010 15.000 0.999 11.022 1.126 0.877 0.145 0.000
2.020 15.000 1.114 13.832 1.077 0.908 0.128 0.000
