# covent_pc_5
# Captured 2020-07-03 20:42:48.958429 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
0.000 5.000 0.467 0.938 0.907 0.438 0.386 0.000
0.010 5.000 0.491 1.148 1.073 0.437 0.387 0.000
0.020 5.000 0.505 1.051 1.107 0.435 0.388 0.000
0.030 5.000 0.491 1.040 1.076 0.436 0.388 0.000
0.040 5.000 0.492 1.220 1.047 0.436 0.388 0.000
0.050 5.000 0.472 0.853 0.929 0.438 0.386 0.000
0.060 5.000 0.494 1.257 1.135 0.437 0.387 0.000
0.070 5.000 0.504 0.991 1.293 0.435 0.388 0.000
0.080 5.000 0.490 1.276 1.136 0.436 0.388 0.000
0.090 5.000 0.470 1.082 1.020 0.439 0.386 0.000
0.100 5.000 0.465 1.036 0.978 0.441 0.385 0.000
0.110 5.000 0.498 1.126 1.182 0.439 0.386 0.000
0.120 5.000 0.509 0.959 1.242 0.437 0.387 0.000
0.130 5.000 0.499 1.096 1.246 0.437 0.387 0.000
0.140 6.500 0.474 1.224 1.087 0.460 0.375 0.000
0.150 8.000 0.481 1.147 1.239 0.496 0.355 0.000
0.160 9.500 0.511 1.994 1.333 0.543 0.329 0.000
0.170 11.000 0.586 1.955 1.242 0.595 0.300 0.000
0.180 12.500 0.635 2.940 1.242 0.658 0.266 0.000
0.190 14.000 0.775 4.103 1.648 0.718 0.233 0.000
0.200 15.500 0.888 6.504 1.432 0.782 0.197 0.000
0.210 17.000 0.955 8.643 0.902 0.857 0.156 0.000
0.220 18.500 1.246 10.244 1.375 0.908 0.128 0.000
0.230 20.000 1.446 12.340 1.727 0.957 0.101 0.000
0.240 20.000 1.626 16.578 1.569 0.984 0.087 0.000
0.250 20.000 1.829 15.492 1.853 0.989 0.084 0.000
0.260 20.000 1.890 16.828 1.169 0.993 0.081 0.000
0.270 20.000 2.113 18.378 1.719 0.969 0.094 0.000
0.280 20.000 2.095 17.075 1.241 0.957 0.101 0.000
0.290 20.000 2.230 16.657 2.171 0.924 0.119 0.000
0.300 20.000 2.211 17.006 1.750 0.900 0.132 0.000
0.310 20.000 2.245 18.233 1.779 0.870 0.149 0.000
0.320 20.000 2.221 15.051 2.032 0.845 0.163 0.000
0.330 20.000 2.198 15.527 1.869 0.823 0.175 0.000
0.340 20.000 2.137 14.463 1.820 0.807 0.183 0.000
0.350 20.000 2.090 14.532 1.885 0.797 0.189 0.000
0.360 20.000 1.996 12.829 1.693 0.797 0.189 0.000
0.370 20.000 1.946 10.568 2.104 0.800 0.187 0.000
0.380 20.000 1.810 9.934 1.760 0.821 0.176 0.000
0.390 20.000 1.823 9.915 1.791 0.834 0.169 0.000
0.400 20.000 1.879 10.253 2.086 0.840 0.165 0.000
0.410 20.000 1.965 11.754 1.872 0.836 0.167 0.000
0.420 20.000 1.993 11.956 1.901 0.832 0.170 0.000
0.430 20.000 2.014 11.536 1.684 0.826 0.173 0.000
0.440 20.000 2.006 10.950 1.613 0.822 0.175 0.000
0.450 20.000 2.009 10.294 1.819 0.817 0.178 0.000
0.460 20.000 2.015 9.785 1.893 0.812 0.181 0.000
0.470 20.000 2.024 9.081 2.261 0.805 0.185 0.000
0.480 20.000 1.977 9.797 2.000 0.805 0.185 0.000
0.490 20.000 1.964 9.144 1.933 0.805 0.185 0.000
0.500 20.000 2.041 9.267 2.430 0.794 0.191 0.000
0.510 20.000 1.977 9.115 2.152 0.795 0.190 0.000
0.520 20.000 1.989 8.710 2.167 0.792 0.192 0.000
0.530 20.000 1.989 8.631 2.133 0.789 0.193 0.000
0.540 20.000 2.020 8.666 2.315 0.782 0.197 0.000
0.550 20.000 1.999 8.893 2.123 0.779 0.199 0.000
0.560 20.000 1.997 7.889 2.205 0.776 0.201 0.000
0.570 20.000 1.968 8.026 2.179 0.776 0.201 0.000
0.580 20.000 2.025 7.866 2.435 0.768 0.205 0.000
0.590 20.000 1.997 7.181 2.469 0.765 0.207 0.000
0.600 20.000 2.018 7.492 2.722 0.759 0.210 0.000
0.610 20.000 1.976 6.664 2.404 0.759 0.210 0.000
0.620 20.000 2.022 7.502 2.691 0.751 0.214 0.000
0.630 20.000 2.004 7.309 2.559 0.747 0.216 0.000
0.640 20.000 1.991 7.646 2.515 0.745 0.218 0.000
0.650 20.000 1.994 7.562 2.362 0.742 0.220 0.000
0.660 20.000 2.020 7.434 2.508 0.735 0.223 0.000
0.670 20.000 2.026 7.600 2.664 0.728 0.227 0.000
0.680 20.000 2.051 6.708 2.845 0.718 0.233 0.000
0.690 20.000 2.024 5.811 3.113 0.713 0.235 0.000
0.700 20.000 2.005 5.597 3.012 0.709 0.237 0.000
0.710 20.000 1.950 5.539 2.967 0.713 0.236 0.000
0.720 20.000 1.971 5.497 2.985 0.711 0.237 0.000
0.730 20.000 1.965 5.353 2.889 0.711 0.237 0.000
0.740 20.000 2.022 5.108 2.975 0.702 0.241 0.000
0.750 20.000 2.023 5.243 3.128 0.696 0.245 0.000
0.760 20.000 1.986 5.010 3.132 0.695 0.245 0.000
0.770 20.000 2.012 5.117 3.305 0.689 0.248 0.000
0.780 20.000 1.994 4.989 2.745 0.687 0.250 0.000
0.790 20.000 2.053 5.013 3.413 0.675 0.256 0.000
0.800 20.000 2.004 5.021 3.050 0.673 0.257 0.000
0.810 20.000 2.002 5.051 2.978 0.669 0.260 0.000
0.820 20.000 2.016 4.928 3.218 0.663 0.263 0.000
0.830 20.000 2.044 4.592 3.404 0.653 0.268 0.000
0.840 20.000 2.040 4.645 3.202 0.646 0.272 0.000
0.850 20.000 1.976 3.970 2.762 0.647 0.272 0.000
0.860 20.000 1.999 4.152 3.123 0.642 0.274 0.000
0.870 20.000 2.000 4.128 2.926 0.638 0.277 0.000
0.880 20.000 2.002 3.522 2.991 0.634 0.279 0.000
0.890 20.000 2.015 3.864 3.031 0.628 0.282 0.000
0.900 20.000 1.985 3.409 2.892 0.627 0.283 0.000
0.910 20.000 1.981 3.384 3.022 0.625 0.284 0.000
0.920 20.000 1.974 3.081 3.020 0.624 0.284 0.000
0.930 20.000 2.047 2.964 3.362 0.613 0.291 0.000
0.940 20.000 2.003 3.074 3.197 0.610 0.292 0.000
0.950 20.000 1.982 3.169 3.220 0.609 0.293 0.000
0.960 20.000 1.950 3.231 2.780 0.611 0.291 0.000
0.970 20.000 1.976 3.140 2.971 0.609 0.293 0.000
0.980 20.000 2.021 3.116 3.186 0.601 0.297 0.000
0.990 20.000 1.975 3.006 3.197 0.602 0.297 0.000
1.000 20.000 1.988 3.290 3.343 0.599 0.298 0.000
1.010 20.000 1.980 3.101 3.179 0.597 0.299 0.000
1.020 20.000 1.977 3.017 3.493 0.596 0.300 0.000
1.030 20.000 1.976 3.057 3.305 0.594 0.301 0.000
1.040 20.000 1.975 3.099 3.274 0.593 0.302 0.000
1.050 20.000 1.967 2.816 3.147 0.592 0.302 0.000
1.060 20.000 1.992 3.100 3.622 0.588 0.304 0.000
1.070 20.000 1.957 2.984 3.504 0.590 0.303 0.000
1.080 20.000 1.994 3.246 3.644 0.585 0.305 0.000
1.090 20.000 1.944 3.215 3.113 0.589 0.303 0.000
1.100 20.000 1.943 3.174 3.031 0.591 0.302 0.000
1.110 20.000 1.955 2.946 3.231 0.591 0.302 0.000
1.120 20.000 1.967 3.067 3.410 0.590 0.303 0.000
1.130 20.000 1.940 3.288 3.191 0.593 0.301 0.000
1.140 5.000 1.930 3.083 3.050 0.391 0.413 0.000
1.150 5.000 1.877 2.783 3.657 0.254 0.488 0.000
1.160 5.000 1.561 0.854 3.836 0.160 0.540 0.000
1.170 5.000 1.310 0.263 3.792 0.088 0.579 0.000
1.180 5.000 1.236 -0.137 3.919 0.050 0.600 0.000
1.190 5.000 1.143 0.066 4.326 0.050 0.600 0.000
1.200 5.000 1.133 0.028 4.409 0.050 0.600 0.000
1.210 5.000 1.097 0.033 4.304 0.050 0.600 0.000
1.220 5.000 1.080 0.055 4.233 0.050 0.600 0.000
1.230 5.000 1.044 0.073 4.039 0.050 0.600 0.000
1.240 5.000 1.029 0.010 4.001 0.050 0.600 0.000
1.250 5.000 1.011 0.079 4.002 0.050 0.600 0.000
1.260 5.000 0.990 0.013 3.806 0.050 0.600 0.000
1.270 5.000 0.980 0.046 3.791 0.050 0.600 0.000
1.280 5.000 0.949 0.043 3.665 0.050 0.600 0.000
1.290 5.000 0.937 0.068 3.631 0.050 0.600 0.000
1.300 5.000 0.924 0.010 3.558 0.050 0.600 0.000
1.310 5.000 0.903 0.039 3.484 0.050 0.600 0.000
1.320 5.000 0.887 0.051 3.436 0.050 0.600 0.000
1.330 5.000 0.875 0.068 3.361 0.050 0.600 0.000
1.340 5.000 0.860 0.020 3.357 0.050 0.600 0.000
1.350 5.000 0.855 0.046 3.363 0.050 0.600 0.000
1.360 5.000 0.834 0.045 3.276 0.050 0.600 0.000
1.370 5.000 0.809 0.075 3.060 0.050 0.600 0.000
